OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210519-1	0	20210519_1108-1552_TOP_0004_0001.mp4	31828	20210519_1108-1552_BOTTOM_0004_0001.mp4	27637	65.84995	28	2.38739	1256.36758	10.66851	6.36515	3739.52586	13.75441	83.57087	79.64725	-669.98575	-584.49907	-3632.29040	Carcharhinidae	Carcharhinus	plumbeus	37018007	1	AD	Passing			
20210519-2	0	20210519_1108-1552_BOTTOM2_0001_0001.mp4	52893	20210519_1108-1552_TOP2_0002_0001.mp4	3271	14.70719	45	2.50695	199.42240	9.47207	5.16127	2859.64356	30.83270	48.85917	83.29653	-481.83275	-1384.19714	-2455.48300	Carangidae	Pseudocaranx	spp		1	AD	Passing			
20210519-2	4	20210519_1108-1552_BOTTOM2_0004_0001.mp4	49878	20210519_1108-1552_TOP2_0005_0001.mp4	256	70.86885	47	1.29101	832.14277	42.68655	17.30437	5305.39246	11.63053	60.82410	52.48540	-665.31197	837.45534	-5196.46204	Carcharhinidae	Carcharhinus	spp		1	AD	Passing			
20210519-2	8	20210519_1108-1552_BOTTOM2_0006_0001.mp4	43090	20210519_1108-1552_TOP2_0006_0001.mp4	61799	106.98132	29	0.67957	1007.59175	54.75359	6.60349	5160.03353	27.66196	89.83201	27.56649	-494.16698	2344.04294	-4570.25248	Triakidae		spp		1	AD	Passing			
20210519-2	11	20210519_1108-1552_BOTTOM2_0007_0001.mp4	17793	20210519_1108-1552_TOP2_0007_0001.mp4	36503	118.94744	40	0.21021	46.12536	4.06632	1.00941	2106.23034	27.84460	6.51872	57.13405	-560.32041	-808.60365	-1862.36608	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	16	20210519_1108-1552_BOTTOM2_0011_0001.mp4	57783	20210519_1108-1552_TOP2_0012_0001.mp4	8162	206.06697	31	1.69225	130.62291	11.73939	0.86245	3864.21560	14.08678	86.12533	79.24652	-479.40741	809.15986	-3748.01162	Carangidae	Carangoides	sp10		1	AD	Passing			
20210519-2	17	20210519_1108-1552_BOTTOM2_0011_0001.mp4	58163	20210519_1108-1552_TOP2_0012_0001.mp4	8542	206.17263	31	1.79791	50.42008	3.81315	3.30443	1718.59753	25.67112	65.03022	62.46168	-468.64995	578.49333	-1548.96422	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	19	20210519_1108-1552_BOTTOM2_0011_0001.mp4	61169	20210519_1108-1552_TOP2_0012_0001.mp4	11548	207.00847	31	2.63374	321.70616	2.77387	11.38244	1403.95675	29.47344	58.45914	62.56625	-214.96710	656.47476	-1222.26208	Lutjanidae	Pristipomoides	spp		1	AD	Passing			
20210520-1	2	20210520_0809-1314_BOTTOM_0003_0001.mp4	14616	20210520_0809-1314_TOP_0003_0001.mp4	6866	42.06397	22	1.91997	88.64691	4.16202	1.18468	2119.86045	23.43744	73.33402	75.80075	-630.81754	-559.46733	-1944.96114	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210520-1	4	20210520_0809-1314_BOTTOM_0006_0001.mp4	14717	20210520_0809-1314_TOP_0006_0001.mp4	6967	99.09205	25	0.35563	169.25753	7.78656	2.76343	3892.05686	11.96821	88.90735	82.42510	-687.99502	421.97194	-3807.45442	Carangidae	Pseudocaranx	spp		1	AD	Passing			
20210520-1	5	20210520_0809-1314_BOTTOM_0006_0001.mp4	16689	20210520_0809-1314_TOP_0006_0001.mp4	8939	99.64037	25	0.90396	881.45858	40.09357	12.87035	4646.00099	23.88536	76.55555	40.96577	-77.63242	1879.60030	-4248.10559	Carcharhinidae	Carcharhinus	spp		1	AD	Passing			
20210520-1	7	20210520_0809-1314_BOTTOM_0007_0001.mp4	63709	20210520_0809-1314_TOP_0007_0001.mp4	55959	131.71464	33	0.14431	82.68342	3.02648	2.95513	1763.42521	11.69884	69.27821	71.21392	-281.86265	220.01442	-1726.79344	SUS	SUS	SUS	2	1	AD	Passing			
20210520-1	8	20210520_0809-1314_BOTTOM_0007_0001.mp4	67342	20210520_0809-1314_TOP_0007_0001.mp4	59592	132.72481	33	1.15449	145.42682	3.51172	3.40614	2265.44375	15.10084	74.48153	77.35216	-549.75303	-214.70067	-2187.21526	Sparidae	Dentex	spp		1	AD	Passing			
20210520-1	9	20210520_0809-1314_BOTTOM_0007_0001.mp4	67706	20210520_0809-1314_TOP_0007_0001.mp4	59956	132.82603	33	1.25570	152.43105	4.60261	2.01774	2056.47767	23.13169	75.81817	72.43877	-517.30886	620.53161	-1891.14581	Sparidae	Dentex	spp		1	AD	Passing			
20210520-1	10	20210520_0809-1314_BOTTOM_0010_0001.mp4	11710	20210520_0809-1314_TOP_0010_0001.mp4	3960	174.25603	20	2.63958	42.77561	1.29437	1.96743	1413.69375	18.90642	48.94485	86.46744	-391.28185	-238.17332	-1337.42365	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210520-1	11	20210520_0809-1314_BOTTOM_0010_0001.mp4	60191	20210520_0809-1314_TOP_0010_0001.mp4	52441	187.73644	12	1.23874	171.32223	9.59383	17.80574	2647.93654	29.74585	69.85060	59.07392	-796.63658	1044.69925	-2299.03057	Holocentridae	Sargocentron	spp		1	AD	Passing			
20210520-1	12	20210520_0809-1314_BOTTOM_0010_0001.mp4	64329	20210520_0809-1314_TOP_0010_0001.mp4	56579	188.88703	12	2.38933	60.66569	4.60107	0.58989	2684.69950	6.44416	14.59120	38.14906	140.37759	266.61954	-2667.73678	SUS	SUS	SUS	2	1	AD	Passing			
