OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
1	0	L041 (06).MP4	2247	R042 (06).MP4	3199	0.62479		-1.00000	-0.72012	98.16998	-546.13544	0.27904	0.29353	0.61781	8.37652	554.88898	9.87008					1	AD	Passing	Sync		
1	1	L041 (08).MP4	80488	R042 (09).MP4	379	67.45934	1	1.86686	-742.26845	3.15152	-2328.73780	3.46440	1.12957	10.69863	1.54203	2444.17514	17.68091	Microdesmidae	Ptereleotris	sp1		1	AD	Passing			
1	2	L041 (09).MP4	1603	R042 (09).MP4	2555	68.06439	1	2.47191	674.86959	38.84810	-2920.53598	4.02281	1.44830	16.80294	2.09054	2997.74724	13.01763	Cirrhitidae		spp		1	AD	Passing			
1	7	L041 (09).MP4	14252	R042 (09).MP4	15204	71.58151	1	5.98904	-1523.89199	197.99256	-3039.47263	8.55936	1.89359	17.45262	1.62001	3405.85404	26.78075	Nemipteridae	Parascolopsis	eriomma	37347015	1	AD	Passing			
1	12	L041 (09).MP4	36682	R042 (09).MP4	37634	77.81830	1	12.22582	1024.95086	47.60120	-2981.62127	5.97241	1.48765	17.39345	7.01390	3153.22938	18.97744	SUS	SUS	SUS	2	1	AD	Passing			
1	13	L041 (09).MP4	36682	R042 (09).MP4	37634	77.81830	1	12.22582	659.56749	-17.62916	-2916.89521	3.93875	1.41148	16.76684	3.44404	2990.58819	12.75835	SUS	SUS	SUS	2	1	AD	Passing			
1	14	L041 (09).MP4	45405	R042 (09).MP4	46357	80.24377	1	14.65130	-460.32227	-190.33627	-2169.17640	2.17152	1.29853	9.33439	2.39530	2225.63491	13.05873	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
1	15	L041 (09).MP4	45405	R042 (09).MP4	46357	80.24377	1	14.65130	-410.40367	-156.92127	-2064.39283	1.89697	1.16338	8.46280	4.86972	2110.63337	12.13352	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
1	17	L041 (09).MP4	62361	R042 (09).MP4	63313	84.95848	1	19.36601	-1150.46335	-194.51316	-1783.33929	3.51268	1.01766	5.60085	4.37010	2131.12653	33.25041	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
1	21	L041 (10).MP4	40359	R042 (10).MP4	41311	101.38045	1	35.78797	-735.24639	23.92329	-2910.11750	4.31768	1.42647	16.69047	4.09814	3001.65678	14.17948	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing			
1	26	L041 (10).MP4	50751	R042 (10).MP4	51703	104.27000	1	38.67753	-2623.96903	707.26573	-6053.77603	29.80608	8.96541	69.75034	14.26594	6635.78500	24.09437	Lutjanidae	Pristipomoides	filamentosus	37346032	1	AD	Passing			
1	27	L041 (10).MP4	50751	R042 (10).MP4	51703	104.27000	1	38.67753	-1287.86494	-26.92023	-2491.99447	5.93040	1.19455	11.73201	5.66751	2805.23747	27.34350	Lutjanidae	Pristipomoides	filamentosus	37346032	1	AD	Passing			
1	34	L041 (11).MP4	44707	R042 (11).MP4	45659	125.12889	1	59.53642	-1340.68688	322.07127	-4788.64460	12.50188	3.98400	44.79917	7.52987	4983.20061	15.99118	Carangidae	Seriola	dumerili	37337025	1	AD	Passing			
1	35	L041 (11).MP4	44807	R042 (11).MP4	45759	125.15670	1	59.56423	-2384.58971	294.88613	-4927.77556	21.75526	3.78723	45.79328	1.91547	5482.35331	25.95606	Carangidae	Seriola	dumerili	37337025	1	AD	Passing			
1	36	L041 (11).MP4	44807	R042 (11).MP4	45759	125.15670	1	59.56423	-1902.86970	319.68165	-4910.98414	17.81626	4.03251	46.58246	21.49330	5276.44527	21.39909	Carangidae	Seriola	dumerili	37337025	1	AD	Passing			
10	0	L035 (08).MP4	3674	R036 (08).MP4	5302	1.02158		-1.00000	26.68080	108.34566	-579.98797	0.29645	0.31620	0.68996	0.80451	590.62399	10.53391								sync		
10	2	L035 (10).MP4	60631	R036 (10).MP4	62259	61.95495	1	11.11249	236.21990	-86.86789	-925.96717	0.61606	0.47768	1.71197	17.03872	959.56296	15.33659	Carcharhinidae	Carcharhinus	plumbeus	37018007	1	AD	Passing			
10	3	L035 (10).MP4	60688	R036 (10).MP4	62316	61.97080	1	11.12834	1693.83244	1093.58456	-4082.93873	12.85052	8.76265	31.29679	0.18828	4553.61221	26.08309	Carcharhinidae	Carcharhinus	plumbeus	37018007	1	AD	Passing			
10	4	L035 (11).MP4	66223	R036 (11).MP4	67851	86.04930	1	35.20684	130.45863	-261.66108	-1033.89756	0.57470	0.72847	2.15575	0.04034	1074.44411	16.11986	Sparidae	Dentex	spp		1	AD	Passing			
10	5	L035 (11).MP4	66717	R036 (11).MP4	68345	86.18666	1	35.34420	-559.55272	-130.44134	-2588.77127	3.05036	1.38616	13.28525	6.75771	2651.76373	12.60180	Sparidae	Dentex	spp		1	AD	Passing			
10	8	L035 (11).MP4	66991	R036 (11).MP4	68619	86.26284	1	35.42039	109.22329	-156.64210	-1805.91626	0.96279	1.01965	6.48576	2.90174	1815.98459	6.34070	Sparidae	Dentex	spp		1	AD	Passing			
10	10	L035 (11).MP4	67027	R036 (11).MP4	68655	86.27285	1	35.43040	-97.09886	-130.12592	-1737.14030	0.91189	0.93978	6.01355	5.69663	1744.71126	5.63803	Sparidae	Dentex	spp		1	AD	Passing			
10	14	L035 (11).MP4	67108	R036 (11).MP4	68736	86.29538	1	35.45292	907.13421	-23.42186	-2081.07402	3.63447	1.00459	8.30883	10.75251	2270.31059	23.57141	Sparidae	Dentex	spp		1	AD	Passing			
10	15	L035 (11).MP4	67110	R036 (11).MP4	68738	86.29593	1	35.45347	1009.55489	190.28549	-3388.38917	6.72108	2.15297	22.43496	4.41299	3540.70485	16.80264	Sparidae	Dentex	spp		1	AD	Passing			
10	22	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	164.19079	378.13753	-2480.15201	1.43657	2.25923	12.12103	5.58306	2514.17990	9.10180	Sparidae	Dentex	spp		1	AD	Passing			
10	23	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	983.28045	64.64684	-4392.34979	8.55726	2.27556	37.76186	18.74772	4501.52822	12.62582	Sparidae	Dentex	spp		1	AD	Passing			
10	24	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	368.90607	-54.09387	-2170.61579	1.85683	1.06890	9.32295	2.46754	2202.40568	9.80660	Sparidae	Dentex	spp		1	AD	Passing			
10	25	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	299.07155	-233.33881	-2631.96442	1.97690	1.69754	13.67510	5.12603	2659.15917	8.43194	Sparidae	Dentex	spp		1	AD	Passing			
10	26	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	1068.75928	123.66434	-3963.15401	8.32718	2.23827	30.71222	11.11017	4106.59579	15.15031	Sparidae	Dentex	spp		1	AD	Passing			
10	27	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	614.12057	241.81836	-2194.34259	2.76825	1.52602	9.46291	4.93455	2291.45360	16.60919	Sparidae	Dentex	spp		1	AD	Passing			
10	28	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	506.00364	195.17043	-1101.59939	1.14510	0.67567	2.26791	1.30596	1227.86498	26.08192	Sparidae	Dentex	spp		1	AD	Passing			
10	29	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	435.73024	29.15848	-1711.66302	1.64122	0.84319	5.80363	1.74908	1766.49408	14.29289	Sparidae	Dentex	spp		1	AD	Passing			
10	30	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	407.80356	91.13505	-1608.09851	1.46818	0.84505	5.12415	4.99418	1661.50238	14.49039	Sparidae	Dentex	spp		1	AD	Passing			
10	31	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	592.50552	-252.64977	-1901.63789	2.32137	1.28434	7.11834	2.88461	2007.76527	18.85916	Sparidae	Dentex	spp		1	AD	Passing			
10	32	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	612.63004	-247.47609	-1789.04977	2.23731	1.19519	6.27578	1.91268	1907.15994	20.41025	Sparidae	Dentex	spp		1	AD	Passing			
10	33	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	608.00760	-255.43957	-1621.02778	2.00174	1.09922	5.11903	4.09035	1750.04391	22.28269	Sparidae	Dentex	spp		1	AD	Passing			
10	34	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	517.22475	-203.86718	-2102.64058	2.30780	1.28845	8.74014	4.13571	2174.89785	14.94887	Sparidae	Dentex	spp		1	AD	Passing			
10	35	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	606.26671	-152.46171	-1824.30891	2.26640	1.01755	6.54071	2.51754	1928.44675	19.00798	Sparidae	Dentex	spp		1	AD	Passing			
10	36	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	751.78282	-208.56438	-1462.30330	2.08251	0.88363	3.95073	6.35871	1657.40986	28.18125	Sparidae	Dentex	spp		1	AD	Passing			
10	37	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	699.12300	-174.44451	-1428.41342	1.93079	0.81716	3.82211	5.45512	1599.86523	26.85954	Sparidae	Dentex	spp		1	AD	Passing			
10	38	L035 (11).MP4	67117	R036 (11).MP4	68745	86.29788	1	35.45542	841.50758	-204.86672	-1520.65774	2.34787	0.90143	4.17601	6.22644	1750.00153	29.75232	Sparidae	Dentex	spp		1	AD	Passing			
