OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
20210826-1-FLASH	1.09	2023 07 04 13:52:21	I:\20210826\	20210826-1-FLASH.EMObs
20210826-2-FLASH	1.09	2023 07 04 13:52:21	I:\20210826\	20210826-2-FLASH.EMObs
20210826-3-FLASH	1.09	2023 07 04 13:52:21	I:\20210826\	20210826-3-FLASH.EMObs
20210826-4-FLASH	1.09	2023 07 04 13:52:21	I:\20210826\	20210826-4-FLASH.EMObs
20210908-3-FLASH	1.09	2023 07 04 13:52:21	I:\20210908\	20210908-3-FLASH.EMObs
20210908-4-FLASH	1.09	2023 07 04 13:52:21	I:\20210908\	20210908-4-FLASH.EMObs
20210908-5-FLASH	1.09	2023 07 04 13:52:21	I:\20210908\	20210908-5-FLASH.EMObs
20210908-6-FLASH	1.09	2023 07 04 13:52:21	G:\20210908\	20210908-6-FLASH.EMObs
20210909-1-FLASH	1.09	2023 07 04 13:52:21	G:\20210909\	20210909-1-FLASH.EMObs
20210909-1-SQUID	1.09	2023 07 04 13:52:21	G:\20210909\	20210909-1-SQUID.EMObs
20210909-2-SQUID	1.09	2023 07 04 13:52:21	G:\20210909\	20210909-2-SQUID.EMObs
20210909-3-SQUID	1.09	2023 07 04 13:52:21	I:\20210909\	20210909-3-SQUID.EMObs
20210909-4-SQUID	1.09	2023 07 04 13:52:21	I:\20210909\	20210909-4-SQUID.EMObs
