EMOB,Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
20210826-1-FLASH,PCPREF10,-22.6745,113.5666,20210826,08:49,08:54,,Pt Cloates,,79,Molly Gerrans,Yes,Yes,Synced cameras with light at start - too rough,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230510,Hannah Williams,Hannah Williams,20230601,tips over
20210826-1-FLASH,PCPREF15,-22.6751,113.561,20210826,09:07,09:12,,Pt Cloates,,89,Molly Gerrans,Yes,Yes,"checked cameras, one light off swapped battery",RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,
20210826-1-FLASH,PCPREF9,-22.6779,113.5654,20210826,09:18,09:23,,Pt Cloates,,78,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,"tips over at end, no fish "
20210826-1-FLASH,PCPREF8,-22.6845,113.5637,20210826,09:28,09:33,,Pt Cloates,,79,Molly Gerrans,Yes,Yes,didn't show whiteboard,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,tips over at end
20210826-1-FLASH,PCFB24,-22.6849,113.5534,20210826,09:41,09:46,,Pt Cloates,,98,Molly Gerrans,Yes,Yes,replaced cable tie on bridle,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,
20210826-1-FLASH,PCFB43,-22.6868,113.5588,20210826,09:52,09:58,,Pt Cloates,,87.6,Molly Gerrans,Yes,Yes,checked cameras,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,
20210826-1-FLASH,PCPREF7,-22.6909,113.5609,20210826,10:02,10:08,,Pt Cloates,,79,Molly Gerrans,Yes,Yes,"showed PCFB17 instead of PCPREF7. Bit of confusion between points PCPREF7, PCFB17 and PCFB7",RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,
20210826-1-FLASH,PCFB17,-22.6881,113.5601,20210826,10:14,10:19,,Pt Cloates,,85,Molly Gerrans,Yes,Yes,showed PCFB17. mixup,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230531,
20210826-1-FLASH,PCFB38,-22.6921,113.5578,20210826,10:27,10:32,,Pt Cloates,,83,Molly Gerrans,Yes,Yes,"showed PCFB25, then PCFB38",RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,
20210826-1-FLASH,PCFB7,-22.6924,113.5591,20210826,10:38,10:43,,Pt Cloates,,81,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,
