EMOB,Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes,Cal
20210909-1-SQUID,PCSBP10,-22.6745,113.5663,20210909,07:44,07:50,,Pt Cloates,,77,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230508,Hannah Williams,Hannah Williams,20230525,,Post-cal
20210909-1-SQUID,PCSBP15,-22.6753,113.5613,20210909,07:57,08:04,,Pt Cloates,,89,Molly Gerrans,Yes,Yes,Checked 077 afterwards. Synced with flasher,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230508,Hannah Williams,Hannah Williams,20230525,no fish ,Post-cal
20210909-2-SQUID,PCSBP9,-22.6779,113.5654,20210909,08:18,08:25,,Pt Cloates,,82,Molly Gerrans,Yes,Yes,Bottom light was off,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSB45,-22.6823,113.5591,20210909,08:32,08:38,,Pt Cloates,,89,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSBP8,-22.6839,113.5635,20210909,08:44,08:51,,Pt Cloates,,78,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSB3,-22.6854,113.5572,20210909,08:56,09:04,,Pt Cloates,,91,Molly Gerrans,Yes,Yes,Checked cams and lights before.,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSB21,-22.6864,113.5593,20210909,09:12,09:19,,Pt Cloates,,88,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSB22,-22.6889,113.5566,20210909,09:27,09:36,,Pt Cloates,,91,Molly Gerrans,Yes,Yes,Lots of whales near by,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSB26,-22.6891,113.5586,20210909,09:39,09:46,,Pt Cloates,,85,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSBP7,-22.69,113.5605,20210909,09:50,09:57,,Pt Cloates,,80,Molly Gerrans,Yes,Yes,Checked cams after and synced,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,spins around a fair bit,Post-cal
