OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210826-1-FLASH	0	20210826_BOTTOM_1_0001_0001.mp4	28194	20210826_TOP_1_0001_0001.mp4	30853	7.83950		-1.00000	-260.39931	-736.98891	-1470.71086	1.05309	2.35886	4.58981	51.51755	1665.51820	27.99734								sync		
20210826-1-FLASH	4	20210826_BOTTOM_1_0004_0001.mp4	51078	20210826_TOP_1_0004_0001.mp4	53737	74.20246	PCFB24	1.05049	1023.28513	1981.69504	-5065.20275	9.86283	19.40761	48.16057	5.13550	5534.48340	24.22023	Lutjanidae	Pristipomoides	sp1		1	AD	Passing			
20210826-1-FLASH	8	20210826_BOTTOM_1_0006_0001.mp4	24720	20210826_TOP_1_0006_0001.mp4	27379	106.87343	PCFB17	0.31253	729.88331	-2573.67037	-14108.59477	21.20393	68.34787	396.54743	83.25765	14359.97755	10.15918	Lethrinidae	Gymnocranius	sp1		1	AD	Passing			
20210826-1-FLASH	9	20210826_BOTTOM_1_0006_0001.mp4	25580	20210826_TOP_1_0006_0001.mp4	28239	107.11256	PCFB17	0.55166	52.92347	-3666.63205	-7640.99450	3.64965	54.27142	116.50149	52.07634	8475.36362	25.03555	Lethrinidae	Gymnocranius	sp1		1	AD	Passing			
20210826-1-FLASH	10	20210826_BOTTOM_1_0007_0001.mp4	68365	20210826_TOP_1_0007_0001.mp4	71024	139.00915	PCFB22	0.00000	495.63395	-927.72906	-1706.47251	1.59529	2.88982	5.30918	0.26740	2004.59039	31.48499	Acanthuridae	Naso	spp		1	AD	Passing			
20210826-1-FLASH	16	20210826_BOTTOM_1_0008_0001.mp4	4089	20210826_TOP_1_0008_0001.mp4	6748	141.13711	PCFB22	2.12796	156.34858	1098.74782	-6840.95451	3.84920	15.90048	91.72802	1.05710	6930.39322	9.72147	Cirrhitidae				3	AD	Passing			
20210826-2-FLASH	8	20210826_BOTTOM_2_0001_0001.mp4	21641	20210826_TOP_2_0001_0001.mp4	17395	6.01740	PCPREF11	1.29963	1123.51953	-2291.32788	-9631.32270	20.55176	42.39146	177.91015	3.46974	9963.67686	14.84794	Serranidae	Plectropomus	spp		1	AD	Passing			
20210826-2-FLASH	10	20210826_BOTTOM_2_0002_0001.mp4	33643	20210826_TOP_2_0002_0001.mp4	29397	29.35460	PCFB2	2.17829	996.13534	-69.46804	-3693.01998	7.07147	1.78021	25.99763	8.37210	3825.63825	15.10322	Lutjanidae	Pristipomoides	sp1		9	AD	Passing			
20210826-2-FLASH	15	20210826_BOTTOM_2_0003_0001.mp4	27332	20210826_TOP_2_0003_0001.mp4	23086	47.59977	PCFB28	0.10177	1783.77741	1928.58031	-12483.80428	42.99029	49.46118	300.09272	5.61171	12757.21965	12.26395	Pomacanthidae	Chaetodontoplus	personifer	37365008	1	AD	Passing			
20210826-2-FLASH	17	20210826_BOTTOM_2_0003_0001.mp4	34386	20210826_TOP_2_0003_0001.mp4	30140	49.56118	PCFB28	2.06317	1593.75669	-5186.42924	-10575.62012	31.77927	101.53059	212.04317	29.11707	11886.24624	26.67144	Carcharhinidae	Carcharhinus	albimarginatus	37018027	1	AD	Passing			
20210826-2-FLASH	20	20210826_BOTTOM_2_0003_0001.mp4	37679	20210826_TOP_2_0003_0001.mp4	33433	50.47682	PCFB28	2.97881	752.94169	-435.98440	-9461.85430	14.43213	8.04019	174.54988	1.46142	9501.77301	5.01706	Serranidae	Variola	louti	37311166	1	AD	Passing			
