OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210826-1-FLASH	0	0	3654.64848	560.14925	3557.94334	677.01493
20210826-1-FLASH	1	0	2975.69307	1547.75248	2995.74257	1472.80198
20210826-1-FLASH	1	1	2801.83168	1523.19802	2820.29703	1466.46535
20210826-1-FLASH	2	0	3395.72277	1511.78218	3426.93069	1388.66337
20210826-1-FLASH	2	1	3573.14851	1475.74257	3616.63366	1334.40594
20210826-1-FLASH	3	0	1001.52475	1353.69307	910.63366	1280.16832
20210826-1-FLASH	3	1	919.54455	1351.31683	1009.24752	1275.41584
20210826-1-FLASH	4	0	381.61386	1271.60396	346.93069	1219.00990
20210826-1-FLASH	5	0	1084.15842	1310.26733	1089.82178	1283.76238
20210826-1-FLASH	5	1	1242.57426	1309.47525	1262.89109	1290.09901
20210826-1-FLASH	6	0	1372.11881	1191.00000	1385.33663	1177.95050
20210826-1-FLASH	6	1	1579.24752	1198.92079	1601.17822	1175.57426
20210826-1-FLASH	7	0	3546.86139	565.33663	3636.83168	438.94059
20210826-1-FLASH	7	1	3365.07921	591.07921	3451.88119	442.10891
20210826-1-FLASH	8	0	1164.35644	527.52475	1290.29703	266.13861
20210826-1-FLASH	9	0	1591.35644	542.74257	1751.92079	344.20792
20210826-1-FLASH	10	0	3714.05941	1140.59406	3763.96040	1102.57426
20210826-1-FLASH	11	0	1091.37624	1428.98020	1088.60396	1382.32673
20210826-1-FLASH	11	1	1191.97030	1407.59406	1190.38614	1356.98020
20210826-1-FLASH	12	0	1188.37624	1177.53465	1188.33663	1174.21782
20210826-1-FLASH	12	1	1360.25743	1168.02970	1369.72277	1167.88119
20210826-1-FLASH	13	0	686.83168	1583.48515	676.18812	1503.45545
20210826-1-FLASH	13	1	638.11881	1525.26733	627.87129	1448.00990
20210826-1-FLASH	14	0	3647.12871	1754.52475	3701.78218	1467.16832
20210826-1-FLASH	14	1	3750.09901	1756.10891	3809.90099	1463.60396
20210826-1-FLASH	15	0	313.24752	1369.22772	288.68317	1373.62376
20210826-1-FLASH	15	1	399.98020	1265.86139	371.85149	1256.79208
20210826-1-FLASH	16	0	725.41584	1554.21782	714.89109	1466.34653
20210826-2-FLASH	0	0	3478.53465	1550.77228	3526.21782	1342.20792
