OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
20210826-1-FLASH	Molly			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
20210826-2-FLASH	Molly			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
20210826-3-FLASH	Molly			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
20210826-4-FLASH	Molly			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
20210908-3-FLASH	Molly			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
20210908-4-FLASH	Molly			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
20210908-5-FLASH	Molly			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
20210908-6-FLASH	Molly			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
20210909-1-FLASH	Molly			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
20210909-1-SQUID	Molly																		
20210909-2-SQUID	Molly			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
20210909-3-SQUID	Molly			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
20210909-4-SQUID	Molly			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
