"Sample","Latitude","Longitude","Date","Time","Time.out","Site","Location","Status","Depth","Observer.count","Successful.count","Successful.length","Left.cam","Right.cam","Rear.cam","Left.mem.card","Right.mem.card","Rear.mem.card","Video.notes","Raw.hdd.number","Con.hdd.number","Habitat.image.saved.forwards","Habitat.image.annotated.forwards","Habitat.image.saved.backwards","Habitat.image.annotated.backwards","Vis.in.metres","Habitat.classification","Maxn.analyst","Maxn.complete.yyyymmdd","Maxn.checker","Observer.length","Length.complete.date.yyyymmdd","Notes","Date.time"
"PCPREF13",-22.7636,113.5347,20210828,"09:30","10:35",NA,"Pt Cloates",NA,82.3,"","No","No",27,28,21,122,149,131,"","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-28T09:30+08:00"
"PCPREF18",-22.7531,113.5303,20210828,"09:38","10:46",NA,"Pt Cloates",NA,99.3,"","No","No",41,42,25,161,152,154,"Bait gone","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-28T09:38+08:00"
"PCBRUV1",-22.7593,113.5427,20210828,"09:56","11:12",NA,"Pt Cloates",NA,81.1,"Henry Evans","Yes","Yes",37,38,24,171,160,129,"","RAW1",NA,"Yes",NA,"Yes","Henry Evans",NA,NA,"Henry Evans",20230131,"Molly Gerrans","Molly Gerrans",20230517,"","2021-08-28T09:56+08:00"
"PCPREF14",-22.7655,113.539,20210828,"09:22","10:24",NA,"Pt Cloates",NA,81.4,"","No","No",33,34,19,120,147,136,"Lights off, redeployed","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-28T09:22+08:00"
"PCBRUV12",-22.7548,113.5436,20210828,"09:48","10:59",NA,"Pt Cloates",NA,84.1,"","No","No",31,32,20,144,121,124,"Recorded as PCBRUV24 but should be 12","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-28T09:48+08:00"
"PCPREF17",-22.7563,113.5291,20210828,"09:35","10:39",NA,"Pt Cloates",NA,99.1,"","No","No",39,40,23,138,118,159,"","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-28T09:35+08:00"
"PCBRUV24",-22.7557,113.5451,20210828,"09:52","11:08",NA,"Pt Cloates",NA,81.1,"Daniel Agnello","Yes","Yes",35,36,26,165,116,173,"Recorded as PCBRUV12 but should be PCBRUV 24","RAW1",NA,"Yes",NA,"Yes","",NA,NA,"Daniel Agnello",20230426,"Brooke Gibbons","Molly Gerrans",20230517,"","2021-08-28T09:52+08:00"
"PCPREF3",-22.7511,113.539,20210828,"09:43","10:49",NA,"Pt Cloates",NA,83.7,"","No","No",29,30,22,153,139,156,"Filmed 029 but should be 030. bait bag gone","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-28T09:43+08:00"
"PCBRUV20",-22.7519,113.5445,20210828,"11:36","12:37",NA,"Pt Cloates",NA,82.4,"Hannah Williams","Yes","Yes",33,34,19,120,147,136,"","RAW1",NA,"Yes",NA,"Yes","",NA,NA,"Hannah Williams",20230420,"Brooke Gibbons","Molly Gerrans",20230517,"TIGER SHARK","2021-08-28T11:36+08:00"
"PCBRUV8",-22.7506,113.5474,20210828,"11:39","12:42",NA,"Pt Cloates",NA,79.8,"Hannah Williams","Yes","Yes",27,28,21,122,149,131,"","RAW1",NA,"",NA,"Yes","",NA,NA,"Hannah Williams",20230427,"Brooke Gibbons","Molly Gerrans",20230517,"Paracaesio - still not sure, sandbar shark, emperor angelfish","2021-08-28T11:39+08:00"
"PCBRUV23",-22.7476,113.5435,20210828,"11:42","12:47",NA,"Pt Cloates",NA,85.6,"Daniel Agnello","Yes","Yes",39,40,23,138,118,159,"","RAW1",NA,"Yes",NA,"Yes","",NA,NA,"Daniel Agnello",20230501,"Claude Spencer","Hannah Williams",20230518,"Sandbar shark, strange jellyfish(?) that floats past camera","2021-08-28T11:42+08:00"
"PCPREF2",-22.7435,113.5454,20210828,"11:47","12:54",NA,"Pt Cloates",NA,82.2,"Hannah Williams","Yes","",41,42,25,161,152,154,"cam 41 turned off - only about 49mins of underwater footage - Loaded Right as left for maxn","RAW1",NA,"Yes",NA,"Yes","",NA,NA,"Hannah Williams",20230503,"Brooke Gibbons - Still need to check Shark","",NA,"SAILFISH!","2021-08-28T11:47+08:00"
"PCBRUV10",-22.7405,113.5395,20210828,"11:51","13:00",NA,"Pt Cloates",NA,92.6,"","No","No",29,30,22,153,139,156,"BRUV flipped after 44 mins","RAW1",NA,"",NA,"Yes","Henry Evans",NA,NA,"",NA,"","",NA,"","2021-08-28T11:51+08:00"
"PCPREF4",-22.7395,113.5425,20210828,"11:54","13:07",NA,"Pt Cloates",NA,89.7,"Daniel Agnello ","Yes","Yes",31,32,20,144,121,124,"Fixed - previously labelled as PCBRUV26 incorrectly as per Charlotte","RAW1",NA,"Yes",NA,"Yes","",NA,NA,"Daniel Agnello",20230523,"Brooke Gibbons","Levi Peters",20230526,"","2021-08-28T11:54+08:00"
"PCBRUV26",-22.7376,113.542,20210828,"11:57","13:12",NA,"Pt Cloates",NA,88.7,"Hannah Williams","Yes","Yes",35,36,26,165,116,173,"Fixed - previously labelled as PCPREF4 incorrectly as per Charlotte","RAW1",NA,"Yes",NA,"Yes","",NA,NA,"Hannah Williams",20230504,"Brooke Gibbons","Levi Peters",20230526,"","2021-08-28T11:57+08:00"
"PCBRUV5",-22.7391,113.5501,20210828,"12:03","13:16",NA,"Pt Cloates",NA,80.3,"Hannah Williams","Yes","Yes",37,38,24,171,160,129,"restarted cam to check SD card ","RAW1",NA,"Yes",NA,"Yes","",NA,NA,"Hannah Williams",20230504,"Brooke Gibbons","Levi Peters",20230526,"Super boring video","2021-08-28T12:03+08:00"
"PCPREF5",-22.7345,113.5503,20210828,"13:24","14:28",NA,"Pt Cloates",NA,79.9,"Hannah Williams","Yes","Yes",33,34,19,120,147,136,"not sure if we synced at start, bait arm chop when pulled up - moving around alot underwater, rope pulled tight","RAW1",NA,"Yes",NA,"Yes","",NA,NA,"Hannah Williams",20230428,"Brooke Gibbons","Levi Peters",20230526,"","2021-08-28T13:24+08:00"
"PCBRUV18",-22.7281,113.5522,20210828,"13:32","14:34",NA,"Pt Cloates",NA,83.9,"Hannah Williams","Yes","Yes",27,28,21,122,149,131,"","RAW1",NA,"Yes",NA,"Yes","Henry Evans",NA,NA,"Hannah Williams",20230427,"Brooke Gibbons","Molly Gerrans",20230517,"","2021-08-28T13:32+08:00"
"PCPREF12",-22.7311,113.5441,20210828,"13:36","14:40",NA,"Pt Cloates",NA,90.4,"Hannah Williams","Yes","Yes",39,40,23,138,118,159,"Strong current - Bruv dips forward and back ","RAW1",NA,"Yes",NA,"Yes","",NA,NA,"Hannah Williams",20230511,"Brooke Gibbons","Molly Gerrans",20230517,"","2021-08-28T13:36+08:00"
"PCBRUV27",-22.729,113.5509,20210828,"13:40","14:45",NA,"Pt Cloates",NA,82.4,"Hannah Williams","Yes","No",41,42,25,161,152,154,"41 turned off again - 4 mins of underwater footage - Loaded RIGHT as LEFT","RAW1",NA,"Yes",NA,"Yes","",NA,NA,"Hannah Williams",20230511,"Brooke Gibbons","Levi Peters",20230526,"","2021-08-28T13:40+08:00"
"PCBRUV15",-22.7281,113.5522,20210828,"13:43","14:51",NA,"Pt Cloates",NA,82,"Levi Peters","Yes","Yes",29,30,22,153,139,156,"try move backwards housing might be in way of video","RAW1",NA,"",NA,"Yes","Henry Evans",NA,NA,"Levi Peters",20230511,"Claude Spencer","Hannah Williams",20230518,"","2021-08-28T13:43+08:00"
"PCBRUV22",-22.7263,113.5501,20210828,"13:47","14:56",NA,"Pt Cloates",NA,82.2,"Levi Peters","Yes","Yes",35,36,26,165,116,173,"","RAW1",NA,"",NA,"Yes","",NA,NA,"Levi Peters",20230511,"Brooke Gibbons","Hannah Williams",20230518,"BRUV tipped over slightly","2021-08-28T13:47+08:00"
"PCBRUV7",-22.7266,113.5478,20210828,"13:51","15:03",NA,"Pt Cloates",NA,86,"Levi Peters","Yes","Yes",31,32,20,144,121,124,"","RAW1",NA,"",NA,"Yes","",NA,NA,"Levi Peters",20230512,"Brooke Gibbons","Hannah Williams",20230518,"","2021-08-28T13:51+08:00"
"PCBRUV14",-22.7252,113.546,20210828,"13:55","15:07",NA,"Pt Cloates",NA,88.9,"Hannah Williams","Yes","Yes",37,38,24,171,160,129,"","RAW1",NA,"Yes",NA,"Yes","Henry Evans",NA,NA,"Hannah Williams",20230511,"Brooke Gibbons","Levi Peters",20230526,"","2021-08-28T13:55+08:00"
"PCPREF14",-22.7657,113.5391,20210829,"08:36","09:42",NA,"Pt Cloates",NA,82.4,"","No","No",33,34,19,249,157,63,"","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-29T08:36+08:00"
"PCPREF13",-22.7639,113.5346,20210829,"08:42","09:49",NA,"Pt Cloates",NA,89.8,"","No","No",27,28,21,148,140,41,"","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-29T08:42+08:00"
"PCPREF17",-22.7562,113.5295,20210829,"08:47","10:02",NA,"Pt Cloates",NA,97,"","No","No",39,40,23,228,143,36,"","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-29T08:47+08:00"
"PCPREF18",-22.7531,113.5301,20210829,"08:51","10:10",NA,"Pt Cloates",NA,98.1,"","No","No",41,42,25,163,134,35,"Backwards turned off before any photos taken","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-29T08:51+08:00"
"PCPREF3",-22.7512,113.5386,20210829,"08:57","",NA,"Pt Cloates",NA,89.2,"","No","No",29,30,22,150,133,57,"Should be PREF3 not BRUV3. Red float loose, lost BRUV. Got back but sample redone","RAW1",NA,"",NA,"Yes","",NA,NA,"",NA,"","",NA,"","2021-08-29T08:57+08:00"
"PCBRUV12",-22.7548,113.5436,20210829,"09:01","10:27",NA,"Pt Cloates",NA,82,"","No","No",31,32,20,245,126,56,"","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-29T09:01+08:00"
"CAP1",-22.7598,113.54,20210829,"09:06","10:32",NA,"Pt Cloates",NA,83.7,"","No","No",35,36,26,204,123,60,"","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-29T09:06+08:00"
"CAP2",-22.7621,113.5439,20210829,"09:11","10:37",NA,"Pt Cloates",NA,78.6,"","No","No",37,38,24,137,247,59,"light turned off","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-29T09:11+08:00"
"PCBRUV2",-22.7229,113.5462,20210829,"10:58","12:05",NA,"Pt Cloates",NA,90.5,"","No","No",33,34,19,249,157,63,"","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-29T10:58+08:00"
"PCBRUV3",-22.7218,113.5506,20210829,"11:14","12:25",NA,"Pt Cloates",NA,82.2,"","No","No",27,28,21,148,140,41,"","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-29T11:14+08:00"
"PCPREF6",-22.7172,113.5529,20210829,"11:34","12:35",NA,"Pt Cloates",NA,81.5,"","No","No",41,42,25,163,134,35,"","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-29T11:34+08:00"
"PCBRUV29",-22.7128,113.5535,20210829,"11:40","12:40",NA,"Pt Cloates",NA,79.9,"","No","No",31,32,20,245,126,56,"","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-29T11:40+08:00"
"PCBRUV13",-22.7094,113.5527,20210829,"11:45","12:48",NA,"Pt Cloates",NA,83.1,"","No","No",35,36,26,204,123,60,"","RAW1",NA,"",NA,"No","",NA,NA,"",NA,"","",NA,"","2021-08-29T11:45+08:00"
