OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210826-1-FLASH	0	0	2464.15842	1535.04950	2495.25743	1766.37624
20210826-1-FLASH	1	0	1704.95050	1492.86139	1719.18812	1371.51485
20210826-1-FLASH	2	0	2466.40594	455.44554	2545.79208	204.05941
20210826-1-FLASH	2	1	2734.92079	438.41584	2823.41584	188.61386
20210826-1-FLASH	3	0	1728.55446	1489.72277	1736.48515	1380.32673
20210826-1-FLASH	4	0	2300.19802	2024.55446	2428.51485	2150.49505
20210826-1-FLASH	5	0	2594.85149	1064.55446	2635.24752	1069.30693
20210826-1-FLASH	6	0	2598.32673	1525.32673	2612.32673	1378.73267
20210826-1-FLASH	7	0	2536.52475	965.61386	2598.67327	655.43564
20210826-1-FLASH	7	1	2634.34653	966.00990	2692.93069	664.14851
20210826-1-FLASH	8	0	2981.68317	339.44554	3083.77228	273.99010
20210826-1-FLASH	8	1	2660.49505	447.96040	2752.38614	366.32673
20210826-1-FLASH	9	0	2176.07921	816.27723	2269.32673	502.80198
20210826-1-FLASH	9	1	2016.07921	825.78218	2125.16832	502.80198
20210826-1-FLASH	10	0	3262.45831	956.63337	3290.92032	693.71460
20210826-1-FLASH	10	1	3379.86411	919.88255	3410.69796	671.18990
20210826-1-FLASH	11	0	3683.16832	708.21782	3738.21782	581.02970
20210826-1-FLASH	12	0	2531.06931	1554.34653	2551.27723	1432.69307
20210826-1-FLASH	12	1	2416.61386	1572.16832	2438.80198	1467.14851
20210826-1-FLASH	13	0	2945.21782	1458.79208	2959.06931	1380.87129
20210826-1-FLASH	13	1	2818.88119	1485.32673	2832.73267	1414.13861
20210826-1-FLASH	14	0	2592.34653	1295.22772	2574.48515	1203.94059
20210826-1-FLASH	14	1	2683.03960	1286.91089	2663.59406	1170.27723
20210826-1-FLASH	15	0	2396.95050	1399.58416	2391.90099	1319.78218
20210826-1-FLASH	15	1	2493.98020	1410.67327	2489.32673	1318.99010
20210826-1-FLASH	16	0	2685.52475	1336.42574	2675.61386	1206.01980
20210826-1-FLASH	16	1	2781.76238	1326.92079	2778.18812	1187.80198
20210826-1-FLASH	17	0	2399.55446	1453.51485	2416.86139	1483.08911
20210826-1-FLASH	17	1	2277.17822	1455.89109	2300.02970	1506.85149
20210826-1-FLASH	18	0	2195.00000	1699.06931	2258.58416	1632.85149
20210826-1-FLASH	19	0	2314.26733	1463.29703	2336.43564	1518.21782
20210826-1-FLASH	19	1	2195.05941	1427.25743	2212.07921	1513.46535
20210826-1-FLASH	20	0	2501.52475	1380.17822	2497.42574	1385.34653
20210826-1-FLASH	21	0	2380.33663	1346.11881	2355.71287	1176.69307
20210826-1-FLASH	22	0	3106.47525	698.78218	3160.64356	670.09901
20210826-1-FLASH	22	1	3237.85149	600.99010	3300.84158	617.42574
20210826-1-FLASH	23	0	2129.10891	1615.45545	2168.81188	1497.63366
20210826-1-FLASH	24	0	2854.34653	1947.38614	2922.80198	2064.55446
20210826-1-FLASH	24	1	2804.04950	1979.06931	2882.00990	2080.39604
20210826-1-FLASH	25	0	937.46535	1414.50495	944.08911	1648.43564
20210826-1-FLASH	25	1	866.97030	1403.41584	868.44554	1623.88119
20210826-1-FLASH	26	0	1101.50495	1473.82178	1107.32673	1697.92079
20210826-1-FLASH	26	1	1138.73267	1483.72277	1156.03960	1707.02970
20210826-1-FLASH	27	0	1776.63366	805.45545	1888.96040	651.55446
20210826-1-FLASH	28	0	630.77228	416.11881	749.64356	312.96040
20210826-1-FLASH	28	1	244.63366	302.85149	375.38614	198.10891
20210826-1-FLASH	29	0	1800.12871	1212.46535	1822.50495	1229.88119
20210826-1-FLASH	29	1	1652.00990	1163.75248	1670.82178	1168.49505
20210826-1-FLASH	30	0	578.22772	702.82178	689.08911	536.57426
20210826-1-FLASH	30	1	443.17822	649.35644	554.43564	479.94059
20210826-1-FLASH	31	0	2065.08586	1509.26235	2088.20136	1446.35236
20210826-1-FLASH	31	1	2193.16492	1502.14929	2207.97900	1422.64215
20210826-1-FLASH	32	0	1442.45545	908.54455	1526.63366	699.95050
20210826-1-FLASH	33	0	1586.62376	794.21782	1689.36634	601.60396
20210826-1-FLASH	34	0	3237.48515	1570.83168	3266.90099	1474.16832
20210826-1-FLASH	34	1	3417.68317	1553.40594	3449.07921	1437.73267
20210826-1-FLASH	35	0	3762.37624	1545.24752	3804.35644	1476.21782
20210826-1-FLASH	35	1	3552.47525	1563.06931	3585.74257	1470.27723
20210826-1-FLASH	36	0	1068.67327	1341.24752	1068.65347	1478.64356
20210826-1-FLASH	36	1	833.82178	1311.54455	833.80198	1443.39604
20210826-1-FLASH	37	0	999.18812	1354.62376	988.54455	1278.46535
20210826-1-FLASH	38	0	943.82178	509.44554	1066.98020	315.95050
