EMOB,Sample,Latitude,Longitude,Time.out,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Observer.length,Length.complete.date.yyyymmdd,Notes,Cal.Used,Date.time
20210826-1-FLASH,PCPREF10,-22.6745,113.5666,8:54,NA,Pt Cloates,NA,79,Molly Gerrans,Yes,Yes,Synced cameras with light at start - too rough,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230510,Hannah Williams,Hannah Williams,20230601,tips over,Post-Cal,2021-08-26T08:49+08:00
20210826-1-FLASH,PCPREF15,-22.6751,113.561,9:12,NA,Pt Cloates,NA,89,Molly Gerrans,Yes,Yes,"checked cameras, one light off swapped battery",RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T09:07+08:00
20210826-1-FLASH,PCPREF9,-22.6779,113.5654,9:23,NA,Pt Cloates,NA,78,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,"tips over at end, no fish ",Post-Cal,2021-08-26T09:18+08:00
20210826-1-FLASH,PCPREF8,-22.6845,113.5637,9:33,NA,Pt Cloates,NA,79,Molly Gerrans,Yes,Yes,didn't show whiteboard,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,tips over at end,Post-Cal,2021-08-26T09:28+08:00
20210826-1-FLASH,PCFB24,-22.6849,113.5534,9:46,NA,Pt Cloates,NA,98,Molly Gerrans,Yes,Yes,replaced cable tie on bridle,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T09:41+08:00
20210826-1-FLASH,PCFB43,-22.6868,113.5588,9:58,NA,Pt Cloates,NA,87.6,Molly Gerrans,Yes,Yes,checked cameras,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T09:52+08:00
20210826-1-FLASH,PCPREF7,-22.6909,113.5609,10:08,NA,Pt Cloates,NA,79,Molly Gerrans,Yes,Yes,"showed PCFB17 instead of PCPREF7. Bit of confusion between points PCPREF7, PCFB17 and PCFB7",RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T10:02+08:00
20210826-1-FLASH,PCFB17,-22.6881,113.5601,10:19,NA,Pt Cloates,NA,85,Molly Gerrans,Yes,Yes,showed PCFB17. mixup,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230531,,Post-Cal,2021-08-26T10:14+08:00
20210826-1-FLASH,PCFB38,-22.6921,113.5578,10:32,NA,Pt Cloates,NA,83,Molly Gerrans,Yes,Yes,"showed PCFB25, then PCFB38",RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T10:27+08:00
20210826-1-FLASH,PCFB7,-22.6924,113.5591,10:43,NA,Pt Cloates,NA,81,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T10:38+08:00
20210826-1-FLASH,PCFB22,-22.6943,113.562,10:53,NA,Pt Cloates,NA,78,Molly Gerrans,Yes,Yes,checked all cameras,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230531,,Post-Cal,2021-08-26T10:47+08:00
20210826-1-FLASH,PCFB33,-22.6973,113.561,11:03,NA,Pt Cloates,NA,77,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T10:57+08:00
20210826-2-FLASH,PCPREF11,-22.6967,113.5595,11:13,NA,Pt Cloates,NA,79,Molly Gerrans,Yes,Yes,checked all cameras and resynced with light,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230509,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T11:08+08:00
20210826-2-FLASH,PCFB40,-22.6945,113.5549,11:25,NA,Pt Cloates,NA,89,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230509,Hannah Williams,Hannah Williams,20230601,no fish :(,Post-Cal,2021-08-26T11:20+08:00
20210826-2-FLASH,PCFB2,-22.696,113.5523,11:36,NA,Pt Cloates,NA,91,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230510,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T11:30+08:00
20210826-2-FLASH,PCFB12,-22.6981,113.5558,11:48,NA,Pt Cloates,NA,83.9,Molly Gerrans,Yes,Yes,checked cameras,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230510,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T11:42+08:00
20210826-2-FLASH,PCFB28,-22.7017,113.5585,11:57,NA,Pt Cloates,NA,80,Molly Gerrans,Yes,Yes,showed PCPREF1,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230510,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T11:51+08:00
20210826-2-FLASH,PCPREF1,-22.6998,113.5588,12:08,NA,Pt Cloates,NA,81,Molly Gerrans,Yes,Yes,skipped and went back after PCFB28,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230510,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T12:03+08:00
20210826-2-FLASH,PCFB23,-22.7009,113.5562,12:19,NA,Pt Cloates,NA,80,Molly Gerrans,Yes,Yes,Check A. virescens ID,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230510,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T12:13+08:00
20210826-2-FLASH,PCFB46,-22.7009,113.5512,12:33,NA,Pt Cloates,NA,92.7,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230510,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T12:28+08:00
20210826-2-FLASH,PCFB19,-22.7049,113.5517,12:42,NA,Pt Cloates,NA,89,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230510,Hannah Williams,Hannah Williams,20230601,,Post-Cal,2021-08-26T12:37+08:00
20210826-2-FLASH,PCPREF16,-22.7053,113.5501,12:52,NA,Pt Cloates,NA,91.8,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230510,Hannah Williams,Hannah Williams,20230601,check - lots of small fis out of range with bad vis,Post-Cal,2021-08-26T12:47+08:00
20210826-3-FLASH,PCFB16,-22.7061,113.5545,13:05,NA,Pt Cloates,NA,79.8,Molly Gerrans,Yes,Yes,Check C Albimarginatus measurements - checked all cameras and resynced,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230606,,Post-cal,2021-08-26T13:00+08:00
20210826-3-FLASH,PCFB32,-22.7073,113.5572,13:15,NA,Pt Cloates,NA,81.2,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230606,,Post-cal,2021-08-26T13:10+08:00
20210826-3-FLASH,PCFB30,-22.7115,113.555,13:27,NA,Pt Cloates,NA,81.3,Molly Gerrans,Yes,Yes,Showed PCFB15 then changed to PCFB30,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230606,,Post-cal,2021-08-26T13:21+08:00
20210826-3-FLASH,PCFB31,-22.7113,113.5533,13:37,NA,Pt Cloates,NA,82.1,Molly Gerrans,Yes,Yes, ,RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230606,,Post-cal,2021-08-26T13:31+08:00
20210826-3-FLASH,PCFB15.1,-22.7101,113.5505,13:47,NA,Pt Cloates,NA,88,Molly Gerrans,Yes,Yes,"Checked all cameras. Don't think that point was added in ipad.we have done this point twice so will have some error later on, maybe rename - Claude",RAW1,CON1,Molly Gerrans,Molly Gerrans,NA,NA,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,Charlotte changed opcode here and in eMOBs to fix dulicated opcode,Post-cal,2021-08-26T13:42+08:00
