OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210909-1-SQUID	0	20210909_BOTTOM_1_0001_0001.mp4	1643	20210909_TOP_1_0001_0001.mp4	2732	0.45685		-1.00000	361.54534	453.50851	-2545.55819	2.11914	2.60524	12.82655	43.31496	2610.79518	12.98095								Sync		
20210909-1-SQUID	17	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	262.27890	1465.78816	-2553.98690	1.69684	7.21318	12.46142	3.04395	2956.37857	30.42647	Caesionidae	Pterocaesio	chrysozona	37346009	15	AD	Passing			
20210909-1-SQUID	18	20210909_BOTTOM_1_0001_0001.mp4	69909	20210909_TOP_1_0001_0001.mp4	70998	19.43859	PCSBP10	2.53809	784.66742	-2652.25444	-4565.93470	6.77797	22.03615	38.76547	0.16916	5338.34396	30.71598	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210909-2-SQUID	0	20210909_BOTTOM_2_0001_0001.mp4	4387	20210909_TOP_2_0001_0001.mp4	26681	1.21983		-1.00000	-416.42318	384.64470	-1164.94457	1.12764	1.12647	3.03491	199.52881	1295.55227	25.89526								Sync		
20210909-2-SQUID	7	20210909_BOTTOM_2_0002_0001.mp4	42345	20210909_TOP_2_0002_0001.mp4	64639	31.77424	PCSBP8	0.99711	974.21276	-1879.59861	-5670.32285	10.81742	20.61174	63.03192	10.71422	6052.64757	20.24029	Pomacanthidae	Chaetodontoplus	personifer	37365008	1	AD	Passing			
20210909-2-SQUID	10	20210909_BOTTOM_2_0002_0001.mp4	42561	20210909_TOP_2_0002_0001.mp4	64855	31.83430	PCSBP8	1.05717	448.90800	-2279.01376	-3990.83470	3.74906	17.44535	31.02571	2.15440	4617.59501	29.94273	Pomacanthidae	Chaetodontoplus	personifer	37365008	1	AD	Passing			
20210909-2-SQUID	11	20210909_BOTTOM_2_0002_0001.mp4	42671	20210909_TOP_2_0002_0001.mp4	64965	31.86489	PCSBP8	1.08775	431.50770	-1018.52549	-5183.33584	4.95614	10.50726	53.54356	4.97571	5300.05316	11.80474	Pomacanthidae	Chaetodontoplus	personifer	37365008	1	AD	Passing			
20210909-2-SQUID	12	20210909_BOTTOM_2_0002_0001.mp4	42671	20210909_TOP_2_0002_0001.mp4	64965	31.86489	PCSBP8	1.08775	877.72030	-1980.43286	-4155.54797	6.95318	15.60310	33.23984	7.07390	4686.26570	27.29189	Pomacanthidae	Chaetodontoplus	personifer	37365008	1	AD	Passing			
20210909-2-SQUID	23	20210909_BOTTOM_2_0003_0001.mp4	16560	20210909_TOP_2_0003_0001.mp4	38854	44.60456	PCSB3	1.85713	709.09805	-2934.59505	-7340.58983	10.43070	40.63747	104.27154	7.98968	7937.18635	21.85850	Carangidae				2	AD	Passing			
20210909-2-SQUID	25	20210909_BOTTOM_2_0004_0001.mp4	3581	20210909_TOP_2_0004_0001.mp4	25875	60.99566	PCSB21	2.46441	-196.81845	-1008.51462	-6510.46166	4.07988	12.68265	85.17038	4.93425	6591.05077	8.40164	Lethrinidae	Gymnocranius	sp1		1	AD	Passing			
