Dot Point Measurements

Generated: Monday 21 August 2023 13:43:05

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare									Radius %
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		949	1916													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		18.2
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		928	1487													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		32.8
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		863	1303													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		42.6
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1016	530													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		77.5
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1011	1518													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		29.2
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		992	1387													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		35.6
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		556	210													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		100.0
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		701	856													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		66.7
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		650	1517													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		41.6
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1028	767													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		65.5
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		725	798													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		68.9
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		821	1605													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		31.9
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		531	657													Sessile invertebrates						00000002		79.8
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		608	1297													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		50.8
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		691	483													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		84.4
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		876	1374													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		39.1
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1072	600													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		73.5
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		642	669													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		76.7
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		546	1656													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		42.4
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		586	1787													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		37.9
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		908	2270													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		23.5
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		717	2151													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		30.1
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		578	2566													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		46.1
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		906	3229													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		65.3
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		726	3343													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		74.0
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		696	2896													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		54.4
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		542	3319													Sessile invertebrates						00000002		77.1
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		775	3084													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		60.8
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		792	2935													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		53.6
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		582	2652													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		48.8
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		840	3601													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		84.5
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		817	2647													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		40.4
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		740	1925													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		28.5
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		695	2749													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		48.4
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		706	2218													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		31.6
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		694	3067													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		62.0
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		814	2512													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		35.2
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		662	3460													Unscorable						00000001		80.8
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		693	2344													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		34.9
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		590	3072													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		65.0
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		2118	3496													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		87.1
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1957	3273													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		73.1
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1845	3489													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		80.8
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		2148	2378													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		47.9
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1847	2745													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		47.1
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1690	3056													Sessile invertebrates						00000002		57.2
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1627	2035													Unscorable						00000001		17.4
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1989	3683													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		92.8
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1619	3719													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		89.0
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1712	2016													Unscorable						00000001		21.7
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1665	2362													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		26.2
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1945	3190													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		69.0
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1753	3473													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		78.5
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1622	2912													Sessile invertebrates						00000002		49.1
20210909-1-SQUID_PCSBP10_02_20210909_TOP_1_0001_0001.mp4_0069006.jpg	      0		1768	3099													Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		60.8
