OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210909-1-SQUID	0	0	2659.39140	1321.79104	2594.92130	1309.70149
20210909-1-SQUID	1	0	2760.75248	1191.23762	2734.27723	1124.46535
20210909-1-SQUID	1	1	2668.47525	1197.17822	2635.66337	1143.47525
20210909-1-SQUID	2	0	2751.22772	1260.93069	2735.86139	1205.25743
20210909-1-SQUID	2	1	2691.02970	1260.53465	2672.09901	1213.97030
20210909-1-SQUID	3	0	2838.35644	1268.05941	2820.21782	1190.20792
20210909-1-SQUID	3	1	2762.31683	1282.31683	2741.40594	1211.19802
20210909-1-SQUID	4	0	2763.50495	1339.34653	2756.85149	1264.66337
20210909-1-SQUID	4	1	2674.39604	1336.17822	2665.76238	1269.81188
20210909-1-SQUID	5	0	2874.79208	1289.44554	2864.57426	1218.72277
20210909-1-SQUID	5	1	2815.78218	1284.29703	2806.35644	1227.03960
20210909-1-SQUID	6	0	2931.42574	1372.21782	2937.32673	1294.67327
20210909-1-SQUID	6	1	2832.01980	1373.00990	2835.14851	1306.15842
20210909-1-SQUID	7	0	3009.05941	1285.26733	3006.47525	1181.90099
20210909-1-SQUID	7	1	2925.89109	1295.96040	2914.59406	1202.49505
20210909-1-SQUID	8	0	3113.61386	1290.01980	3115.78218	1187.04950
20210909-1-SQUID	8	1	3052.62376	1295.96040	3051.62376	1204.87129
20210909-1-SQUID	9	0	3210.24752	1348.63366	3225.08911	1229.42574
20210909-1-SQUID	9	1	3127.47525	1340.31683	3131.22772	1224.27723
20210909-1-SQUID	10	0	3565.14851	1309.19802	3604.75248	1115.00000
20210909-1-SQUID	10	1	3643.16832	1306.42574	3701.78218	1097.57426
20210909-1-SQUID	11	0	2526.44554	1112.23762	2481.07921	1082.25743
20210909-1-SQUID	11	1	2435.35644	1104.71287	2376.12871	1092.55446
20210909-1-SQUID	12	0	2413.64356	1195.88119	2384.47525	1212.78218
20210909-1-SQUID	12	1	2337.20792	1195.48515	2298.53465	1224.66337
20210909-1-SQUID	13	0	2332.85149	1285.78218	2319.12871	1309.41584
20210909-1-SQUID	13	1	2235.42574	1280.63366	2207.84158	1322.88119
20210909-1-SQUID	14	0	2294.43564	1140.43564	2240.31683	1146.24752
20210909-1-SQUID	14	1	2166.51485	1117.46535	2107.64356	1150.60396
20210909-1-SQUID	15	0	2162.67327	1122.25743	2113.51485	1194.57426
20210909-1-SQUID	15	1	2037.52475	1098.49505	1966.18812	1194.57426
20210909-1-SQUID	16	0	2863.84365	1454.14925	2869.71249	1386.20896
20210909-1-SQUID	16	1	2765.12382	1452.13433	2764.94858	1394.26866
20210909-1-SQUID	17	0	2017.42574	1306.93069	2012.67327	1371.08911
20210909-1-SQUID	18	0	1828.88119	1297.33663	1849.95050	1215.78218
20210909-2-SQUID	0	0	2606.99440	838.67257	2188.82390	962.92035
20210909-2-SQUID	1	0	1570.68323	362.07285	1725.67702	326.23179
20210909-2-SQUID	1	1	1321.04348	357.70199	1458.54658	302.39073
20210909-2-SQUID	2	0	3495.70169	1724.59036	3533.45085	1491.69880
20210909-2-SQUID	2	1	3276.36610	1685.55422	3295.89153	1471.53012
20210909-2-SQUID	3	0	419.99379	1420.84768	421.58385	1578.25828
20210909-2-SQUID	3	1	587.74534	1389.85430	588.14286	1519.84768
20210909-2-SQUID	4	0	339.09153	1390.24096	311.10508	1363.49398
20210909-2-SQUID	4	1	262.29153	1340.14458	238.86102	1313.39759
20210909-2-SQUID	5	0	1503.27723	1367.84158	1506.19802	1335.41584
20210909-2-SQUID	5	1	1629.21782	1304.27723	1632.73267	1279.57426
20210909-2-SQUID	6	0	3375.44554	1852.94059	3412.27723	1685.86139
20210909-2-SQUID	6	1	3466.33663	1829.17822	3499.60396	1652.00000
20210909-2-SQUID	7	0	3367.12871	1447.12871	3388.51485	1180.99010
20210909-2-SQUID	8	0	410.03390	529.28916	532.39322	437.45783
20210909-2-SQUID	8	1	254.48136	549.45783	388.55593	449.16867
20210909-2-SQUID	9	0	1576.23762	1499.08911	1575.77228	1620.53465
20210909-2-SQUID	9	1	1851.88119	1419.48515	1858.54455	1551.62376
20210909-2-SQUID	10	0	3711.05981	1535.37313	3771.50052	1285.52239
20210909-2-SQUID	11	0	3162.77228	1551.68317	3179.40594	1333.06931
20210909-2-SQUID	12	0	3582.11962	1386.26866	3626.44281	1128.35821
20210909-2-SQUID	13	0	722.10891	1518.39604	723.62376	1560.09901
20210909-2-SQUID	13	1	869.43564	1495.22772	870.35644	1527.42574
20210909-2-SQUID	14	0	710.97288	1510.50602	719.88475	1720.26506
20210909-2-SQUID	14	1	496.19322	1452.60241	488.18305	1705.95181
20210909-2-SQUID	15	0	3735.86441	1771.31325	3776.21695	1593.28916
20210909-2-SQUID	15	1	3623.91864	1746.59036	3662.31864	1575.72289
20210909-2-SQUID	16	0	2611.88119	1465.52475	2619.80198	1483.00990
20210909-2-SQUID	16	1	2607.12871	1331.26733	2588.91089	1340.43564
20210909-2-SQUID	17	0	3688.89822	1912.16418	3727.17733	1750.97015
20210909-2-SQUID	17	1	3578.09024	1871.86567	3610.32529	1728.80597
20210909-2-SQUID	18	0	3327.13220	1488.84337	3360.32542	1229.13253
20210909-2-SQUID	18	1	3446.23729	1501.85542	3485.28814	1223.92771
20210909-2-SQUID	19	0	2540.48515	1441.08911	2545.24752	1413.77228
20210909-2-SQUID	19	1	2412.76238	1400.09901	2409.80198	1379.31683
20210909-2-SQUID	20	0	2580.27458	1631.85542	2606.11525	1467.63855
20210909-2-SQUID	20	1	2663.58305	1630.55422	2684.21695	1458.53012
20210909-2-SQUID	21	0	2856.16610	1633.61446	2884.19322	1445.53012
20210909-2-SQUID	21	1	2995.44746	1636.86747	3018.91864	1439.02410
20210909-2-SQUID	22	0	3022.92542	1643.78313	3048.84407	1425.77108
20210909-2-SQUID	22	1	3148.53898	1660.04819	3178.36271	1434.22892
20210909-2-SQUID	23	0	1544.45545	1430.42574	1546.93069	1299.80198
20210909-2-SQUID	24	0	1184.44746	1481.13253	1186.17627	1405.26506
20210909-2-SQUID	24	1	1310.71186	1470.07229	1303.97966	1397.45783
20210909-2-SQUID	25	0	1134.61070	596.17910	1243.11123	390.89552
20210909-2-SQUID	26	0	835.64356	1593.45545	841.66337	1738.20792
20210909-2-SQUID	26	1	860.59406	1615.43564	863.04950	1760.78218
20210909-2-SQUID	27	0	3696.23762	1725.88119	3741.98020	1516.27723
20210909-2-SQUID	27	1	3509.10891	1719.34653	3548.91089	1509.74257
20210909-2-SQUID	28	0	14.85149	501.06931	156.83168	289.54455
20210909-2-SQUID	29	0	2410.09339	586.01493	2484.81742	338.50746
20210909-2-SQUID	29	1	2297.27072	606.16418	2371.99475	350.59701
20210909-2-SQUID	30	0	1534.16832	195.44554	1727.48515	170.49505
