OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210909-1-SQUID	1	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	181.43256	3.62208	3.80595	2918.28122	15.41750	8.66042	80.48462	682.30502	369.27924	-2813.26465	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	2	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	115.36731	3.83099	4.70954	2852.94045	12.99970	36.11159	80.96257	545.71776	337.70518	-2779.82311	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	3	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	166.96058	8.36872	3.17179	2996.07235	11.77357	61.81639	67.83415	576.67141	202.92129	-2933.03981	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	4	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	194.05280	6.45495	3.62929	3129.56400	10.87154	83.52209	78.51451	465.53048	362.88804	-3073.39624	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	5	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	124.84843	10.70086	4.92607	2814.91792	10.77500	72.88003	58.83996	517.17664	97.33584	-2765.28786	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	6	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	196.73883	3.58489	5.92276	2893.61788	7.62230	56.01358	81.24436	383.64716	11.37916	-2868.04982	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	7	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	176.92327	4.94702	4.19503	3023.89024	11.56736	44.91089	75.53522	589.85509	-140.46877	-2962.47391	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	8	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	126.59240	5.73511	2.66675	2854.05598	13.37840	41.18603	70.50499	557.07968	-354.62245	-2776.60596	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	9	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	181.26802	12.14032	4.63651	3020.05561	14.47918	76.08828	60.55588	513.43508	-553.67746	-2924.13433	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	10	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	157.00736	11.64004	5.70219	3426.50491	28.18955	33.96399	82.99301	702.96983	-1458.02965	-3020.08591	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	11	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	164.69684	8.03459	6.55872	2853.24613	21.99031	63.50321	69.54438	733.51262	776.80887	-2645.66451	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	12	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	127.93594	6.37706	6.50919	2673.22531	22.35076	36.89637	79.17384	502.95943	883.42038	-2472.39435	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	13	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	160.74585	8.95911	5.54772	2767.72595	23.50198	65.58401	69.95974	354.48779	1045.24043	-2538.13273	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	14	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	198.22251	12.34556	0.73908	2931.06824	27.20493	75.86255	53.43259	626.35716	1184.61048	-2606.82484	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	15	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	163.20825	7.84227	7.90596	2601.16087	30.21713	78.19190	72.79318	506.39391	1207.19876	-2247.72645	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
20210909-1-SQUID	16	20210909_BOTTOM_1_0001_0001.mp4	61846	20210909_TOP_1_0001_0001.mp4	62935	17.19662	PCSBP10	0.29613	202.89994	3.92665	6.47336	2916.76997	5.07434	65.19116	81.81328	217.53794	138.68175	-2905.33847	Caesionidae	Pterocaesio	chrysozona	37346009	1	AD	Passing			
