EMOB,Sample,Latitude,Longitude,Time.out,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Vis.in.metres,Habitat.classification,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Observer.length,Length.complete.date.yyyymmdd,Notes,Cal,Date.time
20210909-1-SQUID,PCSBP10,-22.6745,113.5663,7:50,NA,Pt Cloates,NA,77,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230508,Hannah Williams,Hannah Williams,20230525,,Post-cal,2021-09-09T07:44+08:00
20210909-1-SQUID,PCSBP15,-22.6753,113.5613,8:04,NA,Pt Cloates,NA,89,Molly Gerrans,Yes,Yes,Checked 077 afterwards. Synced with flasher,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230508,Hannah Williams,Hannah Williams,20230525,no fish ,Post-cal,2021-09-09T07:57+08:00
20210909-2-SQUID,PCSBP9,-22.6779,113.5654,8:25,NA,Pt Cloates,NA,82,Molly Gerrans,Yes,Yes,Bottom light was off,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal,2021-09-09T08:18+08:00
20210909-2-SQUID,PCSB45,-22.6823,113.5591,8:38,NA,Pt Cloates,NA,89,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal,2021-09-09T08:32+08:00
20210909-2-SQUID,PCSBP8,-22.6839,113.5635,8:51,NA,Pt Cloates,NA,78,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal,2021-09-09T08:44+08:00
20210909-2-SQUID,PCSB3,-22.6854,113.5572,9:04,NA,Pt Cloates,NA,91,Molly Gerrans,Yes,Yes,Checked cams and lights before.,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal,2021-09-09T08:56+08:00
20210909-2-SQUID,PCSB21,-22.6864,113.5593,9:19,NA,Pt Cloates,NA,88,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal,2021-09-09T09:12+08:00
20210909-2-SQUID,PCSB22,-22.6889,113.5566,9:36,NA,Pt Cloates,NA,91,Molly Gerrans,Yes,Yes,Lots of whales near by,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal,2021-09-09T09:27+08:00
20210909-2-SQUID,PCSB26,-22.6891,113.5586,9:46,NA,Pt Cloates,NA,85,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal,2021-09-09T09:39+08:00
20210909-2-SQUID,PCSBP7,-22.69,113.5605,9:57,NA,Pt Cloates,NA,80,Molly Gerrans,Yes,Yes,Checked cams after and synced,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,spins around a fair bit,Post-cal,2021-09-09T09:50+08:00
