OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
20210909-1-SQUID	0	PCSBP10	20210909_BOTTOM_1_0001_0001.mp4	60781	16.90049	20210909_BOTTOM_1_0001_0001.mp4	71696	19.93547	1
20210909-1-SQUID	1	PCSBP15	20210909_BOTTOM_1_0002_0001.mp4	36605	30.17820	20210909_BOTTOM_1_0002_0001.mp4	47456	33.19538	1
20210909-2-SQUID	0	PCSBP9	20210909_BOTTOM_2_0001_0001.mp4	17120	4.76031	20210909_BOTTOM_2_0001_0001.mp4	28073	7.80585	1
20210909-2-SQUID	1	PCSB45	20210909_BOTTOM_2_0001_0001.mp4	67713	18.82798	20210909_BOTTOM_2_0002_0001.mp4	6818	21.89576	1
20210909-2-SQUID	2	PCSBP8	20210909_BOTTOM_2_0002_0001.mp4	38759	30.77714	20210909_BOTTOM_2_0002_0001.mp4	49789	33.84409	1
20210909-2-SQUID	3	PCSB3	20210909_BOTTOM_2_0003_0001.mp4	9881	42.74743	20210909_BOTTOM_2_0003_0001.mp4	21108	45.86916	1
20210909-2-SQUID	4	PCSB21	20210909_BOTTOM_2_0003_0001.mp4	66646	58.53125	20210909_BOTTOM_2_0004_0001.mp4	5547	61.54231	1
20210909-2-SQUID	5	PCSB22	20210909_BOTTOM_2_0004_0001.mp4	51172	74.22860	20210909_BOTTOM_2_0004_0001.mp4	62313	77.32642	1
20210909-2-SQUID	6	PCSB26	20210909_BOTTOM_2_0005_0001.mp4	20032	85.56993	20210909_BOTTOM_2_0005_0001.mp4	30990	88.61686	1
20210909-2-SQUID	7	PCSBP7	20210909_BOTTOM_2_0005_0001.mp4	60865	96.92377	20210909_BOTTOM_2_0005_0001.mp4	71888	99.98878	1
20210909-3-SQUID	0	PCSB5	20210909_BOTTOM_3_0001_0001.mp4	60475	16.81541	20210909_BOTTOM_3_0001_0001.mp4	71582	19.90377	1
20210909-3-SQUID	1	PCSB42	20210909_BOTTOM_3_0002_0001.mp4	28231	27.84977	20210909_BOTTOM_3_0002_0001.mp4	39373	30.94786	1
20210909-3-SQUID	2	PCSB16	20210909_BOTTOM_3_0003_0001.mp4	5786	41.60879	20210909_BOTTOM_3_0003_0001.mp4	16852	44.68575	1
20210909-3-SQUID	3	PCSBP11	20210909_BOTTOM_3_0003_0001.mp4	48640	53.52458	20210909_BOTTOM_3_0003_0001.mp4	59594	56.57040	1
20210909-3-SQUID	4	PCSB10	20210909_BOTTOM_3_0004_0001.mp4	17158	64.77082	20210909_BOTTOM_3_0004_0001.mp4	28342	67.88059	1
20210909-3-SQUID	5	PCSB7	20210909_BOTTOM_3_0004_0001.mp4	54846	75.25017	20210909_BOTTOM_3_0004_0001.mp4	65956	78.33937	1
20210909-3-SQUID	6	PCSB30	20210909_BOTTOM_3_0005_0001.mp4	27729	87.71012	20210909_BOTTOM_3_0005_0001.mp4	38797	90.78764	1
20210909-3-SQUID	7	PCSB23	20210909_BOTTOM_3_0005_0001.mp4	62773	97.45430	20210909_BOTTOM_3_0006_0001.mp4	1877	100.52181	1
20210909-3-SQUID	8	PCSBP1	20210909_BOTTOM_3_0006_0001.mp4	35352	109.82972	20210909_BOTTOM_3_0006_0001.mp4	46342	112.88555	1
20210909-3-SQUID	9	PCSB19	20210909_BOTTOM_3_0007_0001.mp4	1503	120.41780	20210909_BOTTOM_3_0007_0001.mp4	12587	123.49977	1
20210909-4-SQUID	0	PCSB34	20210909_BOTTOM_4_0001_0001.mp4	19265	5.35674	20210909_BOTTOM_4_0001_0001.mp4	30410	8.45567	1
20210909-4-SQUID	1	PCSBP16	20210909_BOTTOM_4_0001_0001.mp4	61516	17.10487	20210909_BOTTOM_4_0002_0001.mp4	651	20.18099	1
20210909-4-SQUID	2	PCSB38	20210909_BOTTOM_4_0002_0001.mp4	30679	28.53045	20210909_BOTTOM_4_0002_0001.mp4	41824	31.62938	1
20210909-4-SQUID	3	PCSB8	20210909_BOTTOM_4_0002_0001.mp4	66296	38.43395	20210909_BOTTOM_4_0003_0001.mp4	5362	41.49089	1
20210909-4-SQUID	4	PCSB29	20210909_BOTTOM_4_0003_0001.mp4	31520	48.76427	20210909_BOTTOM_4_0003_0001.mp4	42550	51.83122	1
20210909-4-SQUID	5	PCSB31	20210909_BOTTOM_4_0004_0001.mp4	6707	61.86486	20210909_BOTTOM_4_0004_0001.mp4	17695	64.92013	1
20210909-4-SQUID	6	PCSB44	20210909_BOTTOM_4_0004_0001.mp4	43010	71.95911	20210909_BOTTOM_4_0004_0001.mp4	54002	75.01550	1
20210909-4-SQUID	7	PCSB33	20210909_BOTTOM_4_0005_0001.mp4	10915	83.03490	20210909_BOTTOM_4_0005_0001.mp4	21869	86.08072	1
20210909-4-SQUID	8	PCSBP6	20210909_BOTTOM_4_0005_0001.mp4	41516	91.54367	20210909_BOTTOM_4_0005_0001.mp4	52547	94.61091	1
20210909-4-SQUID	9	PCSB9	20210909_BOTTOM_4_0006_0001.mp4	4186	101.16384	20210909_BOTTOM_4_0006_0001.mp4	15095	104.19715	1
