OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
20220519-1-SQUID	1.09	2023 08 17 10:49:54	G:\20220519\	20220519-1-SQUID.EMObs
20220521-2-SQUID	1.09	2023 08 17 10:49:54	F:\20220521\	20220521-2-SQUID.EMObs
20220521-3-SQUID	1.09	2023 08 17 10:49:54	F:\20220521\	20220521-3-SQUID.EMObs
20220523-3-SQUID	1.09	2023 08 17 10:49:54	F:\20220523\	20220523-3-SQUID.EMObs
20220523-4-SQUID	1.09	2023 08 17 10:49:54	G:\20220523\	20220523-4-SQUID.EMObs
20220523-5-SQUID	1.09	2023 08 17 10:49:54	F:\20220523\	20220523-5-SQUID.EMObs
20220525-SQUID-1	1.09	2023 08 17 10:49:54	F:\20220525\	20220525-1-SQUID.EMObs
20220525-2-SQUID	1.09	2023 08 17 10:49:54	F:\20220525\	20220525-2-SQUID.EMObs
20220525-3-SQUID	1.09	2023 08 17 10:49:54	G:\20220525\	20220525-3-SQUID.EMObs
20220526-1-SQUID	1.09	2023 08 17 10:49:54	F:\20220526\	20220526-1-SQUID.EMObs
20220526-2-SQUID	1.09	2023 08 17 10:49:54	F:\20220526\	20220526-2-SQUID.EMObs
20220527-2-SQUID	1.09	2023 08 17 10:49:54	D:\20220527\	20220527-2-SQUID.EMObs
