"campaignid","sample","family","genus","species"
"2021-05_PtCloates_stereo-BRUVS","1","Apogonidae","Pristiapogon","exostigma"
"2021-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_stereo-BRUVS","1","Cirrhitidae","Paracirrhites","forsteri"
"2021-05_PtCloates_stereo-BRUVS","1","Labridae","Bodianus","solatus"
"2021-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","multidens"
"2021-05_PtCloates_stereo-BRUVS","1","Microdesmidae","Ptereleotris","sp1"
"2021-05_PtCloates_stereo-BRUVS","1","Muraenidae","Gymnothorax","kidako"
"2021-05_PtCloates_stereo-BRUVS","1","Nemipteridae","Parascolopsis","eriomma"
"2021-05_PtCloates_stereo-BRUVS","1","Pteroidae","Pterois","sp1"
"2021-05_PtCloates_stereo-BRUVS","1","SUS","SUS","sus"
"2021-05_PtCloates_stereo-BRUVS","1","Triakidae","Hemitriakis","falcata"
"2021-05_PtCloates_stereo-BRUVS","10","Triakidae","Hemitriakis","falcata"
"2021-05_PtCloates_stereo-BRUVS","11","Cirrhitidae","Cirrhitichthys","aprinus"
"2021-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_stereo-BRUVS","11","Lutjanidae","Pristipomoides","multidens"
"2021-05_PtCloates_stereo-BRUVS","11","Muraenidae","Gymnothorax","kidako"
"2021-05_PtCloates_stereo-BRUVS","11","Muraenidae","Uropterygius","concolor"
"2021-05_PtCloates_stereo-BRUVS","11","Triakidae","Hemitriakis","falcata"
"2021-05_PtCloates_stereo-BRUVS","12","Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_stereo-BRUVS","12","Labridae","Bodianus","solatus"
"2021-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Gymnocranius","griseus"
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Lutjanus","sebae"
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","multidens"
"2021-05_PtCloates_stereo-BRUVS","12","Serranidae","Epinephelus","multinotatus"
"2021-05_PtCloates_stereo-BRUVS","13","Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_stereo-BRUVS","13","Labridae","Bodianus","solatus"
"2021-05_PtCloates_stereo-BRUVS","13","Lutjanidae","Pristipomoides","multidens"
"2021-05_PtCloates_stereo-BRUVS","13","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_PtCloates_stereo-BRUVS","13","SUS","SUS","sus"
"2021-05_PtCloates_stereo-BRUVS","14","Dasyatidae","Taeniurops","meyeni"
"2021-05_PtCloates_stereo-BRUVS","14","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_stereo-BRUVS","14","Triakidae","Hemitriakis","falcata"
"2021-05_PtCloates_stereo-BRUVS","15","Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_stereo-BRUVS","15","Carcharhinidae","Carcharhinus","sp2"
"2021-05_PtCloates_stereo-BRUVS","15","Labridae","Bodianus","solatus"
"2021-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Aprion","virescens"
"2021-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Lutjanus","sebae"
"2021-05_PtCloates_stereo-BRUVS","16","Labridae","Bodianus","solatus"
"2021-05_PtCloates_stereo-BRUVS","16","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_stereo-BRUVS","16","Lethrinidae","Gymnocranius","griseus"
"2021-05_PtCloates_stereo-BRUVS","16","Lutjanidae","Pristipomoides","multidens"
"2021-05_PtCloates_stereo-BRUVS","17","Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_stereo-BRUVS","17","Cirrhitidae","Cyprinocirrhites","polyactis"
"2021-05_PtCloates_stereo-BRUVS","17","Labridae","Bodianus","solatus"
"2021-05_PtCloates_stereo-BRUVS","17","Labridae","Choerodon","sp1"
"2021-05_PtCloates_stereo-BRUVS","17","Labridae","Leptojulis","cyanopleura"
"2021-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Gymnocranius","griseus"
"2021-05_PtCloates_stereo-BRUVS","17","Lutjanidae","Pristipomoides","multidens"
"2021-05_PtCloates_stereo-BRUVS","17","Mullidae","Parupeneus","ciliatus"
"2021-05_PtCloates_stereo-BRUVS","17","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_PtCloates_stereo-BRUVS","2","Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_stereo-BRUVS","2","Carcharhinidae","Carcharhinus","sp1"
"2021-05_PtCloates_stereo-BRUVS","2","Labridae","Bodianus","solatus"
"2021-05_PtCloates_stereo-BRUVS","2","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_stereo-BRUVS","2","Lethrinidae","Gymnocranius","griseus"
"2021-05_PtCloates_stereo-BRUVS","2","Lethrinidae","Lethrinus","punctulatus"
"2021-05_PtCloates_stereo-BRUVS","2","Lutjanidae","Lutjanus","sebae"
