"campaignid","sample","family","genus","species","length","min.length","max.length","fb.length_max","reason","difference","percent.of.fb.max"
"2021-05_PtCloates_stereo-BRUVS","12","Echeneidae","Echeneis","naucrates",122.96202,165,935,1100,"too small",42.03798,11.1783654545455
"2021-05_PtCloates_stereo-BRUVS","13","Echeneidae","Echeneis","naucrates",135.28891,165,935,1100,"too small",29.71109,12.2989918181818
"2021-05_PtCloates_stereo-BRUVS","13","Lutjanidae","Pristipomoides","typus",671.33533,105,595,700,"too big",76.33533,95.9050471428571
"2021-05_PtCloates_stereo-BRUVS","15","Echeneidae","Echeneis","naucrates",102.48211,165,935,1100,"too small",62.51789,9.31655545454545
"2021-05_PtCloates_stereo-BRUVS","18","Tetraodontidae","Lagocephalus","lunaris",525.26358,67.5,382.5,450,"too big",142.76358,116.72524
"2021-05_PtCloates_stereo-BRUVS","21","Pinguipedidae","Parapercis","nebulosa",36.42793,37.5,212.5,250,"too small",1.07207,14.571172
"2021-05_PtCloates_stereo-BRUVS","25","Carcharhinidae","Carcharhinus","plumbeus",1607.12759,270,1530,1800,"too big",77.1275900000001,89.2848661111111
"2021-05_PtCloates_stereo-BRUVS","3","Tetraodontidae","Lagocephalus","lunaris",642.67221,67.5,382.5,450,"too big",260.17221,142.816046666667
"2021-05_PtCloates_stereo-BRUVS","6","Echeneidae","Echeneis","naucrates",133.55787,165,935,1100,"too small",31.44213,12.1416245454545
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Tetraodontidae","Lagocephalus","lunaris",579.82821,67.5,382.5,450,"too big",197.32821,128.850713333333
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Lethrinidae","Gymnocranius","euanus",415.50016,67.5,382.5,450,"too big",33.00016,92.3333688888889
"2021-08_Pt-Cloates_stereo-BRUVs","PCB2","Lethrinidae","Gymnocranius","euanus",437.31479,67.5,382.5,450,"too big",54.81479,97.1810644444444
"2021-08_Pt-Cloates_stereo-BRUVs","PCB25","Lethrinidae","Gymnocranius","euanus",408.09561,67.5,382.5,450,"too big",25.59561,90.6879133333333
"2021-08_Pt-Cloates_stereo-BRUVs","PCB28","Lethrinidae","Gymnocranius","euanus",405.2085,67.5,382.5,450,"too big",22.7085,90.0463333333333
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Lethrinidae","Gymnocranius","euanus",424.08837,67.5,382.5,450,"too big",41.58837,94.24186
"2021-08_Pt-Cloates_stereo-BRUVs","PCB29","Lethrinidae","Gymnocranius","euanus",463.93649,67.5,382.5,450,"too big",81.43649,103.096997777778
"2021-08_Pt-Cloates_stereo-BRUVs","PCB3","Lethrinidae","Gymnocranius","euanus",396.02903,67.5,382.5,450,"too big",13.52903,88.0064511111111
"2021-08_Pt-Cloates_stereo-BRUVs","PCB4","Lethrinidae","Gymnocranius","euanus",403.4603,67.5,382.5,450,"too big",20.9603,89.6578444444445
"2021-08_Pt-Cloates_stereo-BRUVs","PCB9","Echeneidae","Echeneis","naucrates",160.14396,165,935,1100,"too small",4.85604000000001,14.5585418181818
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Lethrinidae","Gymnocranius","euanus",391.23886,67.5,382.5,450,"too big",8.73885999999999,86.9419688888889
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Lethrinidae","Gymnocranius","euanus",466.96153,67.5,382.5,450,"too big",84.46153,103.769228888889
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Balistidae","Xanthichthys","lineopunctatus",295.79365,45,255,300,"too big",40.79365,98.5978833333333
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Balistidae","Xanthichthys","lineopunctatus",338.29916,45,255,300,"too big",83.29916,112.766386666667
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Balistidae","Xanthichthys","lineopunctatus",275.14705,45,255,300,"too big",20.14705,91.7156833333333
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP1","Balistidae","Xanthichthys","lineopunctatus",330.85028,45,255,300,"too big",75.85028,110.283426666667
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP10","Lethrinidae","Gymnocranius","euanus",405.27826,67.5,382.5,450,"too big",22.77826,90.0618355555556
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP10","Lethrinidae","Gymnocranius","euanus",435.95293,67.5,382.5,450,"too big",53.45293,96.8784288888889
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP13","Lethrinidae","Gymnocranius","euanus",447.52981,67.5,382.5,450,"too big",65.02981,99.4510688888889
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP15","Echeneidae","Echeneis","naucrates",138.6744,165,935,1100,"too small",26.3256,12.6067636363636
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP16","Echeneidae","Echeneis","naucrates",105.30504,165,935,1100,"too small",59.69496,9.57318545454545
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP18","Lethrinidae","Gymnocranius","euanus",474.40283,67.5,382.5,450,"too big",91.90283,105.422851111111
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP3","Carcharhinidae","Carcharhinus","plumbeus",1580.83512,270,1530,1800,"too big",50.83512,87.8241733333333
