"campaignid","sample","family","genus","species","family_correct","genus_correct","species_correct"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP18","Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBP9","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBRUV18","Lethrinidae","Lethrinus","sp","Lethrinidae","Lethrinus","spp"
"2021-08_Pt-Cloates_stereo-BRUVs","PCBRUV7","Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2021-08_Pt-Cloates_stereo-BRUVs","PCPREF5","Scaridae","Scarus","sp","Scaridae","Scarus","spp"
"2022-05_PtCloates_stereo-BRUVS","13","Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2022-05_PtCloates_stereo-BRUVS","2","Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2022-05_PtCloates_stereo-BRUVS","40","Pinguipedidae","Parapercis","sp","Pinguipedidae","Parapercis","spp"
"2022-05_PtCloates_stereo-BRUVS","43","Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2022-05_PtCloates_stereo-BRUVS","64","Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
