"","modname","formula","AICc","BIC","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","macroalgae","biog","mean.relief","tpi","roughness","detrended","method","cumsum.wi"
"null","null","s(sample, bs = ""re"")",22965.9616599984,23320.9233269014,NA,64.8,0,0,0,0.203,0.903,0,0,0,0,0,0,0,0,0.203
"biog","biog","s(biog, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22968.0448282244,23327.9156718301,NA,65.72,0,2.083,6.992,0.072,0.027,0,0,1,0,0,0,0,0,0.275
"tpi","tpi","s(tpi, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22968.0674428783,23328.0925267547,NA,65.75,0,2.106,7.169,0.071,0.025,0,0,0,0,1,0,0,0,0.346
"detrended","detrended","s(detrended, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22968.3100093653,23329.3124336877,NA,65.93,0,2.348,8.389,0.063,0.014,0,0,0,0,0,0,1,0,0.409
"method","method","method + s(sample, bs = ""re"")",22968.3307663473,23329.5060315425,NA,65.97,0,2.369,8.583,0.062,0.012,0,0,0,0,0,0,0,1,0.471
"roughness","roughness","s(roughness, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22968.4282361196,23329.9329067917,NA,66.03,0,2.467,9.01,0.059,0.01,0,0,0,0,0,1,0,0,0.53
"mean.relief","mean.relief","s(mean.relief, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22968.7567620352,23332.0143509832,NA,66.36,0,2.795,11.091,0.05,0.004,0,0,0,1,0,0,0,0,0.58
"macroalgae","macroalgae","s(macroalgae, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22969.3044148686,23334.429984734,NA,66.71,0,3.343,13.507,0.038,0.001,0,1,0,0,0,0,0,0,0.618
"depth","depth","s(depth, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22969.4516663507,23335.5040788208,NA,66.89,0,3.49,14.581,0.035,0.001,1,0,0,0,0,0,0,0,0.653
"biog+tpi","biog+tpi","s(biog, k = 3, bs = ""cr"") + s(tpi, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22970.1454974337,23335.0395510699,NA,66.67,0,4.184,14.116,0.025,0.001,0,0,1,0,1,0,0,0,0.678
"biog+detrended","biog+detrended","s(biog, k = 3, bs = ""cr"") + s(detrended, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22970.3583016908,23336.1316213393,NA,66.83,0,4.397,15.208,0.023,0,0,0,1,0,0,0,1,0,0.701
"biog+method","biog+method","s(biog, k = 3, bs = ""cr"") + method + s(sample, bs = ""re"")",22970.4035186432,23336.4404390185,NA,66.88,0,4.442,15.517,0.022,0,0,0,1,0,0,0,0,1,0.723
"method+tpi","method+tpi","s(tpi, k = 3, bs = ""cr"") + method + s(sample, bs = ""re"")",22970.4803926164,23336.9368201875,NA,66.96,0,4.519,16.013,0.021,0,0,0,0,0,1,0,0,1,0.744
"roughness+tpi","roughness+tpi","s(roughness, k = 3, bs = ""cr"") + s(tpi, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22970.5432381262,23337.1393617876,NA,66.99,0,4.582,16.216,0.021,0,0,0,0,0,1,1,0,0,0.765
"biog+roughness","biog+roughness","s(biog, k = 3, bs = ""cr"") + s(roughness, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22970.5865843803,23337.2182358369,NA,66.99,0,4.625,16.295,0.02,0,0,0,1,0,0,1,0,0,0.785
"detrended+roughness","detrended+roughness","s(detrended, k = 3, bs = ""cr"") + s(roughness, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22970.7442828269,23338.1598909461,NA,67.14,0,4.783,17.237,0.019,0,0,0,0,0,0,1,1,0,0.804
"detrended+method","detrended+method","s(detrended, k = 3, bs = ""cr"") + method + s(sample, bs = ""re"")",22970.8090587812,23338.4945622368,NA,67.19,0,4.847,17.571,0.018,0,0,0,0,0,0,0,1,1,0.822
"mean.relief+tpi","mean.relief+tpi","s(mean.relief, k = 3, bs = ""cr"") + s(tpi, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22970.9078601913,23339.4233657866,NA,67.35,0,4.946,18.5,0.017,0,0,0,0,1,1,0,0,0,0.839
"method+roughness","method+roughness","s(roughness, k = 3, bs = ""cr"") + method + s(sample, bs = ""re"")",22970.9144681367,23339.0656789754,NA,67.28,0,4.953,18.142,0.017,0,0,0,0,0,0,1,0,1,0.856
"null1","null","s(sample, bs = ""re"")",22965.9616599984,23320.9233269014,NA,64.8,0,0,0,0.203,0.903,0,0,0,0,0,0,0,0,0.203
"biog1","biog","s(biog, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22968.0448282244,23327.9156718301,NA,65.72,0,2.083,6.992,0.072,0.027,0,0,1,0,0,0,0,0,0.275
"tpi1","tpi","s(tpi, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22968.0674428783,23328.0925267547,NA,65.75,0,2.106,7.169,0.071,0.025,0,0,0,0,1,0,0,0,0.346
"detrended1","detrended","s(detrended, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22968.3100093653,23329.3124336877,NA,65.93,0,2.348,8.389,0.063,0.014,0,0,0,0,0,0,1,0,0.409
"method1","method","method + s(sample, bs = ""re"")",22968.3307663473,23329.5060315425,NA,65.97,0,2.369,8.583,0.062,0.012,0,0,0,0,0,0,0,1,0.471
"roughness1","roughness","s(roughness, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22968.4282361196,23329.9329067917,NA,66.03,0,2.467,9.01,0.059,0.01,0,0,0,0,0,1,0,0,0.53
"mean.relief1","mean.relief","s(mean.relief, k = 3, bs = ""cr"") + s(sample, bs = ""re"")",22968.7567620352,23332.0143509832,NA,66.36,0,2.795,11.091,0.05,0.004,0,0,0,1,0,0,0,0,0.58
