"","modname","formula","AICc","BIC","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","macroalgae","biog","mean.relief","tpi","roughness","detrended","method","cumsum.wi"
"biog","biog","s(biog, k = 3, bs = ""cr"")",456.786182911861,466.214458318757,NA,2,0,0,1.041,0.103,0.199,0,0,1,0,0,0,0,0,0.103
"biog+tpi","biog+tpi","s(biog, k = 3, bs = ""cr"") + s(tpi, k = 3, bs = ""cr"")",456.972920010941,470.66185187821,NA,3.75,0,0.187,5.489,0.094,0.022,0,0,1,0,1,0,0,0,0.197
"null","null","1",458.026969959234,465.173266116954,NA,1,0,1.241,0,0.056,0.336,0,0,0,0,0,0,0,0,0.253
"biog+depth","biog+depth","s(biog, k = 3, bs = ""cr"") + s(depth, k = 3, bs = ""cr"")",458.268388572845,469.92428131251,NA,3,0,1.482,4.751,0.049,0.031,1,0,1,0,0,0,0,0,0.302
"biog+method","biog+method","s(biog, k = 3, bs = ""cr"") + method",458.502659663127,470.158338282256,NA,3,0,1.716,4.985,0.044,0.028,0,0,1,0,0,0,0,1,0.346
"biog+roughness","biog+roughness","s(biog, k = 3, bs = ""cr"") + s(roughness, k = 3, bs = ""cr"")",458.718914245101,471.90118044675,NA,3.45,0,1.933,6.728,0.039,0.012,0,0,1,0,0,1,0,0,0.385
"biog+method+tpi","biog+method+tpi","s(biog, k = 3, bs = ""cr"") + s(tpi, k = 3, bs = ""cr"") + method",458.731239189003,474.54478211632,NA,4.75,0,1.945,9.372,0.039,0.003,0,0,1,0,1,0,0,1,0.424
"biog+macroalgae","biog+macroalgae","s(biog, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"")",458.800325759189,470.456594925224,NA,3,0,2.014,5.283,0.038,0.024,0,1,1,0,0,0,0,0,0.462
"biog+detrended","biog+detrended","s(biog, k = 3, bs = ""cr"") + s(detrended, k = 3, bs = ""cr"")",459.050643973763,472.021328057809,NA,3.37,0,2.264,6.848,0.033,0.011,0,0,1,0,0,0,1,0,0.495
"depth","depth","s(depth, k = 3, bs = ""cr"")",459.150902668343,468.583699452677,NA,2,0,2.365,3.41,0.032,0.061,1,0,0,0,0,0,0,0,0.527
"mean.relief","mean.relief","s(mean.relief, k = 3, bs = ""cr"")",459.24595345579,468.673786457221,NA,2,0,2.46,3.501,0.03,0.058,0,0,0,1,0,0,0,0,0.557
"tpi","tpi","s(tpi, k = 3, bs = ""cr"")",459.254899578939,470.644367283972,NA,2.65,0,2.469,5.471,0.03,0.022,0,0,0,0,1,0,0,0,0.587
"biog+macroalgae+tpi","biog+macroalgae+tpi","s(biog, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(tpi, k = 3, bs = ""cr"")",459.329622217056,475.107749090096,NA,4.72,0,2.543,9.934,0.029,0.002,0,1,1,0,1,0,0,0,0.616
"biog+depth+tpi","biog+depth+tpi","s(biog, k = 3, bs = ""cr"") + s(depth, k = 3, bs = ""cr"") + s(tpi, k = 3, bs = ""cr"")",459.356272046779,475.086975540829,NA,4.68,0,2.57,9.914,0.029,0.002,1,0,1,0,1,0,0,0,0.645
"method","method","method",459.494223795591,468.92164334266,NA,2,0,2.708,3.748,0.027,0.051,0,0,0,0,0,0,0,1,0.672
"biog+roughness+tpi","biog+roughness+tpi","s(biog, k = 3, bs = ""cr"") + s(roughness, k = 3, bs = ""cr"") + s(tpi, k = 3, bs = ""cr"")",459.682438704623,476.203940273031,NA,4.88,0,2.896,11.031,0.024,0.001,0,0,1,0,1,1,0,0,0.696
"biog+depth+method","biog+depth+method","s(biog, k = 3, bs = ""cr"") + s(depth, k = 3, bs = ""cr"") + method",459.814898057997,473.642468897166,NA,4,0,3.029,8.469,0.023,0.005,1,0,1,0,0,0,0,1,0.719
"roughness","roughness","s(roughness, k = 3, bs = ""cr"")",460.016424864993,470.605446888884,NA,2.31,0,3.23,5.432,0.021,0.022,0,0,0,0,0,1,0,0,0.74
"biog+method+roughness","biog+method+roughness","s(biog, k = 3, bs = ""cr"") + s(roughness, k = 3, bs = ""cr"") + method",460.193753551508,475.62874102554,NA,4.51,0,3.408,10.455,0.019,0.002,0,0,1,0,0,1,0,1,0.759
"macroalgae","macroalgae","s(macroalgae, k = 3, bs = ""cr"")",460.201345726072,469.630382801331,NA,2,0,3.415,4.457,0.019,0.036,0,1,0,0,0,0,0,0,0.778
"depth+method","depth+method","s(depth, k = 3, bs = ""cr"") + method",460.387788287697,472.04465006646,NA,3,0,3.602,6.871,0.017,0.011,1,0,0,0,0,0,0,1,0.795
"detrended","detrended","s(detrended, k = 3, bs = ""cr"")",460.431115379507,471.374782557854,NA,2.43,0,3.645,6.202,0.017,0.015,0,0,0,0,0,0,1,0,0.812
"biog+macroalgae+method","biog+macroalgae+method","s(biog, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + method",460.484873167894,474.315072391966,NA,4,0,3.699,9.142,0.016,0.003,0,1,1,0,0,0,0,1,0.828
"mean.relief+method","mean.relief+method","s(mean.relief, k = 3, bs = ""cr"") + method",460.516791101749,472.172237465322,NA,3,0,3.731,6.999,0.016,0.01,0,0,0,1,0,0,0,1,0.844
"method+tpi","method+tpi","s(tpi, k = 3, bs = ""cr"") + method",460.7417000357,474.336108681668,NA,3.67,0,3.956,9.163,0.014,0.003,0,0,0,0,1,0,0,1,0.858
"biog+detrended+roughness","biog+detrended+roughness","s(biog, k = 3, bs = ""cr"") + s(detrended, k = 3, bs = ""cr"") + s(roughness, k = 3, bs = ""cr"")",460.787396818772,477.898692155271,NA,5.08,0,4.001,12.725,0.014,0.001,0,0,1,0,0,1,1,0,0.872
"biog+detrended+method","biog+detrended+method","s(biog, k = 3, bs = ""cr"") + s(detrended, k = 3, bs = ""cr"") + method",460.924417378244,475.91807565038,NA,4.33,0,4.138,10.745,0.013,0.002,0,0,1,0,0,0,1,1,0.885
