"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2021-08_PtCloates_BOSS","PCFB1.1","20210908_BOTTOM_3_0001_0001.mp4","0.45712","Carangidae","Carangoides","spp",1,"-22.7596","113.5395",NA,NA,"Pt Cloates",NA,NA,"83","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB1.1","20210908_BOTTOM_3_0001_0001.mp4","0.45712","Carcharhinidae","Carcharhinus","spp",1,"-22.7596","113.5395",NA,NA,"Pt Cloates",NA,NA,"83","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB1.1","20210908_BOTTOM_3_0001_0001.mp4","1.48704","Lethrinidae","Gymnocranius","sp1",1,"-22.7596","113.5395",NA,NA,"Pt Cloates",NA,NA,"83","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB1.2","20210908_BOTTOM_4_0004_0001.mp4","0.61812","Carangidae","Seriola","spp",1,"-22.7596","113.5395",NA,NA,"Pt Cloates",NA,NA,"86","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB1.2","20210908_BOTTOM_4_0004_0001.mp4","2.38850","Lethrinidae","Gymnocranius","sp1",1,"-22.7596","113.5395",NA,NA,"Pt Cloates",NA,NA,"86","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB1.2","20210908_BOTTOM_4_0004_0001.mp4","0.20076","Lethrinidae","Lethrinus","miniatus",1,"-22.7596","113.5395",NA,NA,"Pt Cloates",NA,NA,"86","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB1.2","20210908_BOTTOM_4_0004_0001.mp4","0.20076","Mullidae","Parupeneus","heptacanthus",1,"-22.7596","113.5395",NA,NA,"Pt Cloates",NA,NA,"86","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB1.2","20210908_BOTTOM_4_0004_0001.mp4","0.00000","Unknown","Unknown","Unknown",2,"-22.7596","113.5395",NA,NA,"Pt Cloates",NA,NA,"86","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB10","20210826_BOTTOM_4_0002_0001.mp4","1.62662","Acanthuridae","Naso","fageni",63,"-22.7237","113.547",NA,NA,"Pt Cloates",NA,NA,"89.1","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB10","20210826_BOTTOM_4_0002_0001.mp4","2.69797","Apogonidae",NA,"spp",1,"-22.7237","113.547",NA,NA,"Pt Cloates",NA,NA,"89.1","Yes","Yes"
