"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2021-08_PtCloates_BOSS","PCPREF10","-22.6745","113.5666",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"2021-08_PtCloates_BOSS","PCPREF15","-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCPREF9","-22.6779","113.5654",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"2021-08_PtCloates_BOSS","PCPREF8","-22.6845","113.5637",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB24","-22.6849","113.5534",NA,NA,"Pt Cloates",NA,NA,"98","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB43","-22.6868","113.5588",NA,NA,"Pt Cloates",NA,NA,"87.6","Yes","Yes"
"2021-08_PtCloates_BOSS","PCPREF7","-22.6909","113.5609",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB17","-22.6881","113.5601",NA,NA,"Pt Cloates",NA,NA,"85","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB38","-22.6921","113.5578",NA,NA,"Pt Cloates",NA,NA,"83","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB7","-22.6924","113.5591",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB22","-22.6943","113.562",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB33","-22.6973","113.561",NA,NA,"Pt Cloates",NA,NA,"77","Yes","Yes"
"2021-08_PtCloates_BOSS","PCPREF11","-22.6967","113.5595",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB40","-22.6945","113.5549",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB2","-22.696","113.5523",NA,NA,"Pt Cloates",NA,NA,"91","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB12","-22.6981","113.5558",NA,NA,"Pt Cloates",NA,NA,"83.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB28","-22.7017","113.5585",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCPREF1","-22.6998","113.5588",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB23","-22.7009","113.5562",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB46","-22.7009","113.5512",NA,NA,"Pt Cloates",NA,NA,"92.7","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB19","-22.7049","113.5517",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCPREF16","-22.7053","113.5501",NA,NA,"Pt Cloates",NA,NA,"91.8","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB16","-22.7061","113.5545",NA,NA,"Pt Cloates",NA,NA,"79.8","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB32","-22.7073","113.5572",NA,NA,"Pt Cloates",NA,NA,"81.2","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB30","-22.7115","113.555",NA,NA,"Pt Cloates",NA,NA,"81.3","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB31","-22.7113","113.5533",NA,NA,"Pt Cloates",NA,NA,"82.1","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB15.1","-22.7101","113.5505",NA,NA,"Pt Cloates",NA,NA,"88","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB20","-22.7139","113.5477",NA,NA,"Pt Cloates",NA,NA,"96.4","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB42","-22.7168","113.552",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCPREF6","-22.7174","113.5525",NA,NA,"Pt Cloates",NA,NA,"81.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB4.1","-22.716","113.5564",NA,NA,"Pt Cloates",NA,NA,"77.7","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB4.2","-22.7163","113.5566",NA,NA,"Pt Cloates",NA,NA,"77.5","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB18","-22.7168","113.5539",NA,NA,"Pt Cloates",NA,NA,"82.3","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB6","-22.7227","113.5527",NA,NA,"Pt Cloates",NA,NA,"81.7","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB36","-22.7232","113.5498",NA,NA,"Pt Cloates",NA,NA,"84.4","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB10","-22.7237","113.547",NA,NA,"Pt Cloates",NA,NA,"89.1","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB41","-22.7273","113.5453",NA,NA,"Pt Cloates",NA,NA,"90","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB3","-22.7291","113.5491",NA,NA,"Pt Cloates",NA,NA,"81.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB39","-22.7304","113.5515",NA,NA,"Pt Cloates",NA,NA,"80.7","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB1.1","-22.7596","113.5395",NA,NA,"Pt Cloates",NA,NA,"83","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFBP14","-22.766","113.5392",NA,NA,"Pt Cloates",NA,NA,"83","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFBP13","-22.7634","113.5347",NA,NA,"Pt Cloates",NA,NA,"92","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB9","-22.7602","113.5435",NA,NA,"Pt Cloates",NA,NA,"83","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB21","-22.7582","113.5431",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB1.2","-22.7596","113.5395",NA,NA,"Pt Cloates",NA,NA,"86","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFBP17","-22.7565","113.5294",NA,NA,"Pt Cloates",NA,NA,"99","Yes","Yes"
