"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2021-08_PtCloates_BRUVS","PCBRUV1","-22.7593","113.5427","20210828","09:56","Pt Cloates",NA,NA,"81.1","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBRUV24","-22.7557","113.5451","20210828","09:52","Pt Cloates",NA,NA,"81.1","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBRUV20","-22.7519","113.5445","20210828","11:36","Pt Cloates",NA,NA,"82.4","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBRUV8","-22.7506","113.5474","20210828","11:39","Pt Cloates",NA,NA,"79.8","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBRUV23","-22.7476","113.5435","20210828","11:42","Pt Cloates",NA,NA,"85.6","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCPREF2","-22.7435","113.5454","20210828","11:47","Pt Cloates",NA,NA,"82.2","Yes",NA
"2021-08_PtCloates_BRUVS","PCPREF4","-22.7395","113.5425","20210828","11:54","Pt Cloates",NA,NA,"89.7","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBRUV26","-22.7376","113.542","20210828","11:57","Pt Cloates",NA,NA,"88.7","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBRUV5","-22.7391","113.5501","20210828","12:03","Pt Cloates",NA,NA,"80.3","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCPREF5","-22.7345","113.5503","20210828","13:24","Pt Cloates",NA,NA,"79.9","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBRUV18","-22.7281","113.5522","20210828","13:32","Pt Cloates",NA,NA,"83.9","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCPREF12","-22.7311","113.5441","20210828","13:36","Pt Cloates",NA,NA,"90.4","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBRUV27","-22.729","113.5509","20210828","13:40","Pt Cloates",NA,NA,"82.4","Yes","No"
"2021-08_PtCloates_BRUVS","PCBRUV15","-22.7281","113.5522","20210828","13:43","Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBRUV22","-22.7263","113.5501","20210828","13:47","Pt Cloates",NA,NA,"82.2","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBRUV7","-22.7266","113.5478","20210828","13:51","Pt Cloates",NA,NA,"86","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBRUV14","-22.7252","113.546","20210828","13:55","Pt Cloates",NA,NA,"88.9","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBRUV19","-22.7103","113.5544","20210829","11:47","Pt Cloates",NA,NA,"79.7","Yes","Yes - Go Back for Bodianus"
"2021-08_PtCloates_BRUVS","PCBP10","-22.6743","113.5667","20210907","07:54","Pt Cloates",NA,NA,"81","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBP15","-22.6752","113.5614","20210907","08:19","Pt Cloates",NA,NA,"88","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBP9","-22.6774","113.5655","20210907","08:36","Pt Cloates",NA,NA,"80","Yes",NA
"2021-08_PtCloates_BRUVS","PCB30","-22.6827","113.5573","20210907","08:41","Pt Cloates",NA,NA,"92","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBP8","-22.6835","113.5638","20210907","08:45","Pt Cloates",NA,NA,"78","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCB9","-22.6873","113.5604","20210907","08:48","Pt Cloates",NA,NA,"83","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBP7","-22.69","113.5613","20210907","08:51","Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCB28","-22.6916","113.5554","20210907","10:48","Pt Cloates",NA,NA,"92","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCB4","-22.6931","113.5571","20210907","10:51","Pt Cloates",NA,NA,"86","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBP11","-22.6959","113.5597","20210907","10:54","Pt Cloates",NA,NA,"81","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBP1","-22.6992","113.5588","20210907","10:57","Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCB21","-22.7021","113.5563","20210907","11:01","Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCB16","-22.7056","113.5586","20210907","11:03","Pt Cloates",NA,NA,"78","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCBP16","-22.7054","113.5508","20210907","11:09","Pt Cloates",NA,NA,"91","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCB13","-22.7094","113.5532","20210907","12:47","Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCB11","-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Yes","Yes"
"2021-08_PtCloates_BRUVS","PCB29","-22.7133","113.5543","20210907","12:54","Pt Cloates",NA,NA,"79","Yes","Yes"
