"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Left_MAH00189.MP4","19.32514","Carangidae","Carangoides","chrysophrys",2,"-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Left_MAH00190.MP4","31.46866","Carangidae","Carangoides","fulvoguttatus",2,"-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Left_MAH00188.MP4","2.19970","Carangidae","Decapterus","spp",68,"-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Left_MAH00190.MP4","36.93106","Carangidae","Seriola","rivoliana",3,"-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Left_MAH00189.MP4","11.52123","Carangidae","Seriolina","nigrofasciata",2,"-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Left_MAH00191.MP4","58.71671","Lethrinidae","Gymnocranius","euanus",1,"-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Left_MAH00189.MP4","27.96015","Lethrinidae","Gymnocranius","sp1",2,"-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Left_MAH00189.MP4","28.77819","Lethrinidae","Lethrinus","miniatus",2,"-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Left_MAH00190.MP4","36.95970","Lethrinidae","Lethrinus","nebulosus",4,"-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Left_MAH00189.MP4","23.99675","Lethrinidae","Lethrinus","rubrioperculatus",1,"-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Left_MAH00190.MP4","35.99985","Lutjanidae","Lutjanus","sebae",1,"-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Left_MAH00189.MP4","12.50583","Lutjanidae","Pristipomoides","sp1",8,"-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB11","Left_MAH00189.MP4","14.31180","Sparidae","Argyrops","spinifer",1,"-22.71","113.5494","20210907","12:50","Pt Cloates",NA,NA,"90","Kaitlin McCloghry","Yes","Yes"
