sample,PCO1,PCO2,method
npz6.1,0.258276493,0.044709725,BOSS
npz6.10,0.807481323,-0.286146973,BOSS
npz6.11,-0.451019519,0.099459895,BOSS
npz6.12,0.807481323,-0.286146973,BOSS
npz6.13,0.608447357,-0.160241175,BOSS
npz6.14,-1.352733295,-0.297856383,BOSS
npz6.15,0.619423831,-0.163519193,BOSS
npz6.16,0.807481323,-0.286146973,BOSS
npz6.17,0.608514861,-0.146773541,BOSS
npz6.18,-1.049433609,-0.441134629,BOSS
npz6.19,-1.053457088,-0.269838599,BOSS
npz6.2,0.019032439,0.186700841,BOSS
npz6.20,-1.355763659,0.245924297,BOSS
npz6.21,-0.650377284,-0.440765785,BOSS
npz6.23,0.807481323,-0.286146973,BOSS
npz6.24,0.149129173,0.015314603,BOSS
npz6.25,0.263790262,0.047901306,BOSS
npz6.26,-1.260925798,-0.610483238,BOSS
npz6.27,0.807481323,-0.286146973,BOSS
npz6.28,-0.061968772,-0.442495943,BOSS
npz6.29,-0.05690507,-0.440217342,BOSS
npz6.3,0.619423831,-0.163519193,BOSS
npz6.30,0.619423831,-0.163519193,BOSS
npz6.31,0.453477261,-0.074525888,BOSS
npz6.32,0.807481323,-0.286146973,BOSS
npz6.33,-0.620082134,-0.236520336,BOSS
npz6.34,-0.285401276,0.11636732,BOSS
npz6.35,0.807481323,-0.286146973,BOSS
npz6.36,0.555814839,-0.122044611,BOSS
npz6.37,0.133481099,-0.195695296,BOSS
npz6.38,-1.754670631,-0.590349045,BOSS
npz6.39,-1.64516651,-0.465365743,BOSS
npz6.4,0.807481323,-0.286146973,BOSS
npz6.40,-0.427599888,-0.343590824,BOSS
npz6.42,0.103231496,0.191825001,BOSS
npz6.43,-1.617220979,-0.100071684,BOSS
npz6.45,0.611388852,-0.168826065,BOSS
npz6.46,-0.07549981,0.314458763,BOSS
npz6.47,0.25961326,-0.278809252,BOSS
npz6.49,-0.244643969,-0.291870628,BOSS
npz6.5,-0.683344168,-0.338708876,BOSS
npz6.50,-1.264676433,-0.561135344,BOSS
npz6.6,0.604078852,-0.160336563,BOSS
npz6.7,0.807481323,-0.286146973,BOSS
npz6.8,0.352016011,-0.052447497,BOSS
npz6.9,0.616010959,-0.163032079,BOSS
npz9.1,0.619423831,-0.163519193,BOSS
npz9.13,0.807481323,-0.286146973,BOSS
npz9.14,0.807481323,-0.286146973,BOSS
npz9.16,0.419628529,-0.046006259,BOSS
npz9.17,0.107457862,0.017091531,BOSS
npz9.19,0.630938516,-0.089964888,BOSS
npz9.21,0.807481323,-0.286146973,BOSS
npz9.22,0.463137678,-0.012542631,BOSS
npz9.23,0.616010959,-0.163032079,BOSS
npz9.24,0.481659907,-0.033871232,BOSS
npz9.25,0.616010959,-0.163032079,BOSS
npz9.26,0.807481323,-0.286146973,BOSS
npz9.27,0.048916824,0.818733724,BOSS
npz9.4,0.468718921,-0.026238153,BOSS
npz9.41,0.605116118,-0.16235773,BOSS
npz9.42,0.611388852,-0.168826065,BOSS
npz9.43,-1.193003503,0.118412232,BOSS
npz9.44,0.23725645,0.002696291,BOSS
npz9.45,-0.492394588,-0.273881716,BOSS
npz9.46,0.807481323,-0.286146973,BOSS
npz9.47,0.245782715,0.038073223,BOSS
npz9.48,0.630938516,-0.089964888,BOSS
npz9.49,0.369931671,0.26853157,BOSS
npz9.5,0.012192254,0.526740473,BOSS
npz9.50,0.807481323,-0.286146973,BOSS
npz9.6,0.418063465,-0.048313011,BOSS
npz9.7,0.604078852,-0.160336563,BOSS
npz9.8,0.570597874,-0.129952614,BOSS
npz9.9,0.807481323,-0.286146973,BOSS
npz6.10,-0.044629132,0.80394257,BRUV
npz6.13,0.065036225,0.463324769,BRUV
npz6.14,-1.166895832,-0.32230054,BRUV
npz6.15,0.606746813,-0.154181083,BRUV
npz6.17,-0.332277915,0.262491175,BRUV
npz6.18,0.207883001,0.210797284,BRUV
npz6.2,-0.594321865,-0.12447464,BRUV
npz6.20,-0.920205878,0.491299845,BRUV
npz6.21,-1.253260739,0.017523998,BRUV
npz6.22,-0.726548083,-0.086005013,BRUV
npz6.24,-1.632736999,-0.261535156,BRUV
npz6.26,-1.28334105,-0.122405427,BRUV
npz6.27,-1.287370636,-0.273407548,BRUV
npz6.28,0.459824085,-0.057048201,BRUV
npz6.36,-0.78485474,0.121459397,BRUV
npz6.4,-0.675826227,0.378946045,BRUV
npz6.5,-1.325026247,-0.260756762,BRUV
npz6.6,-1.271744225,-0.283835447,BRUV
npz6.8,0.333710187,-0.041408875,BRUV
npz6.9,-0.105232571,0.846473649,BRUV
