"campaignid","sample","family","genus","species","maxn"
"2021-08_PtCloates_BOSS","PCFB1.1","Carangidae","Carangoides","spp",1
"2021-08_PtCloates_BOSS","PCFB1.1","Carcharhinidae","Carcharhinus","spp",1
"2021-08_PtCloates_BOSS","PCFB1.1","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCFB1.2","Carangidae","Seriola","spp",1
"2021-08_PtCloates_BOSS","PCFB1.2","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCFB1.2","Lethrinidae","Lethrinus","miniatus",1
"2021-08_PtCloates_BOSS","PCFB1.2","Mullidae","Parupeneus","heptacanthus",1
"2021-08_PtCloates_BOSS","PCFB1.2","Unknown","Unknown","unknown",2
"2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",63
"2021-08_PtCloates_BOSS","PCFB10","Apogonidae","Unknown","spp",1
"2021-08_PtCloates_BOSS","PCFB10","Cirrhitidae","Cyprinocirrhites","polyactis",5
"2021-08_PtCloates_BOSS","PCFB10","Echeneidae","Echeneis","naucrates",1
"2021-08_PtCloates_BOSS","PCFB10","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCFB10","Lethrinidae","Lethrinus","rubrioperculatus",3
"2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Paracaesio","xanthura",9
"2021-08_PtCloates_BOSS","PCFB10","Lutjanidae","Pristipomoides","sp1",1
"2021-08_PtCloates_BOSS","PCFB10","Pomacanthidae","Apolemichthys","trimaculatus",1
"2021-08_PtCloates_BOSS","PCFB10","SUS","SUS","sus",3
"2021-08_PtCloates_BOSS","PCFB10","Serranidae","Pseudanthias","cooperi",5
"2021-08_PtCloates_BOSS","PCFB10","Serranidae","Pseudanthias","georgei",1
"2021-08_PtCloates_BOSS","PCFB11","Balistidae","Xanthichthys","lineopunctatus",1
"2021-08_PtCloates_BOSS","PCFB11","Cirrhitidae","Cyprinocirrhites","polyactis",2
"2021-08_PtCloates_BOSS","PCFB11","Lethrinidae","Gymnocranius","sp1",2
"2021-08_PtCloates_BOSS","PCFB11","Lutjanidae","Pristipomoides","sp1",1
"2021-08_PtCloates_BOSS","PCFB11","Pomacanthidae","Pomacanthus","imperator",2
"2021-08_PtCloates_BOSS","PCFB11","Pomacanthidae","Pomacanthus","semicirculatus",2
"2021-08_PtCloates_BOSS","PCFB12","Carangidae","Seriola","rivoliana",1
