"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id"
"1","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20,13:03:00,"Point Cloates","No-take","inNP.1",93.6,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.1"
"1","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20,13:03:00,"Point Cloates","No-take","inNP.1",93.6,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.1"
"1","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20,13:03:00,"Point Cloates","No-take","inNP.1",93.6,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.1"
"10","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20,12:02:57,"Point Cloates","No-take","inNP.10",176,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.10"
"10","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20,12:02:57,"Point Cloates","No-take","inNP.10",176,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.10"
"10","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20,12:02:57,"Point Cloates","No-take","inNP.10",176,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.10"
"12","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Pinguipedidae","Parapercis","nebulosa",86.22911,1880.68914,1,5.20616274558197,8.622911,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.12"
"13","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.13"
"13","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.13"
"13","Pinguipedidae","Parapercis","nebulosa",NA,1808.95705,1,NA,NA,"2021-05_PtCloates_BOSS",-22.7037,113.5389,2021-05-20,11:16:00,"Point Cloates","No-take","inNP.13",107,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.13"
"15","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.15"
"15","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.15"
"15","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7037,113.5188,2021-05-20,11:33:03,"Point Cloates","No-take","inNP.15",168,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.15"
"18","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.18"
"18","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6838,113.5489,2021-05-20,13:14:58,"Point Cloates","No-take","inNP.18",102,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.18"
