"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2021-08_PtCloates_BOSS.PCFB1.2","2021-08_PtCloates_BOSS","PCFB1.2","Lethrinidae","Gymnocranius","sp1",314.02473,2711.52329,-22.7596,113.5395,"NA","NA","Pt Cloates","NA","NA",86,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB1.2","2021-08_PtCloates_BOSS","PCFB1.2","Mullidae","Parupeneus","heptacanthus",295.52092,3546.47143,-22.7596,113.5395,"NA","NA","Pt Cloates","NA","NA",86,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",493.76965,5105.34815,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",487.12787,5479.41412,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",416.87199,4909.9839,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",395.008,4990.53398,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",468.05217,5081.72478,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",402.62342,5064.38911,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",403.45884,4273.64798,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",422.55759,4594.27603,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",503.57901,4756.01804,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",397.98209,4641.59388,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",488.52374,5129.27858,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",447.04211,4078.32154,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",475.66171,4229.65658,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",439.69033,3656.266,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",423.49999,4594.563,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",416.92254,4581.8315,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Acanthuridae","Naso","fageni",437.32312,4116.69413,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
"2021-08_PtCloates_BOSS.PCFB10","2021-08_PtCloates_BOSS","PCFB10","Lethrinidae","Gymnocranius","sp1",342.34579,3167.35055,-22.7237,113.547,"NA","NA","Pt Cloates","NA","NA",89.1,"Yes","Yes"
