"campaignid","sample","family","genus","species","length","number","range"
"2021-05_PtCloates_stereo-BRUVS","1","Cirrhitidae","Paracirrhites","forsteri",30.96033,1,1133.41802
"2021-05_PtCloates_stereo-BRUVS","1","Nemipteridae","Parascolopsis","eriomma",229.23818,1,2343.977
"2021-05_PtCloates_stereo-BRUVS","1","Nemipteridae","Parascolopsis","eriomma",199.58935,1,3243.94316
"2021-05_PtCloates_stereo-BRUVS","1","Nemipteridae","Parascolopsis","eriomma",344.94651,1,3545.005
"2021-05_PtCloates_stereo-BRUVS","1","Nemipteridae","Parascolopsis","eriomma",206.31641,1,2761.74289
"2021-05_PtCloates_stereo-BRUVS","1","Nemipteridae","Parascolopsis","eriomma",187.64946,1,2964.55355
"2021-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","multidens",586.3141,1,3038.63092
"2021-05_PtCloates_stereo-BRUVS","1","Apogonidae","Pristiapogon","exostigma",72.21679,1,1731.80703
"2021-05_PtCloates_stereo-BRUVS","1","Labridae","Bodianus","solatus",262.18374,1,3115.1031
"2021-05_PtCloates_stereo-BRUVS","1","Muraenidae","Gymnothorax","kidako",590.78663,1,1677.11347
"2021-05_PtCloates_stereo-BRUVS","1","Pteroidae","Pterois","sp1",119.02349,1,2054.77123
"2021-05_PtCloates_stereo-BRUVS","1","Carangidae","Carangoides","chrysophrys",515.39975,1,1751.13208
"2021-05_PtCloates_stereo-BRUVS","1","Lethrinidae","Lethrinus","miniatus",444.59001,1,1311.4395
"2021-05_PtCloates_stereo-BRUVS","1","Lethrinidae","Lethrinus","miniatus",454.00785,1,1539.81489
"2021-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","filamentosus",571.24746,1,2563.70609
"2021-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","filamentosus",491.57232,1,2946.71523
"2021-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","filamentosus",472.30354,1,3136.4451
"2021-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","filamentosus",542.92586,1,2291.69682
"2021-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","filamentosus",486.80801,1,3863.01997
"2021-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","filamentosus",491.33748,1,2654.42258
"2021-05_PtCloates_stereo-BRUVS","1","Triakidae","Hemitriakis","falcata",680.23374,1,1169.87972
"2021-05_PtCloates_stereo-BRUVS","1","Triakidae","Hemitriakis","falcata",683.0294,1,3570.45784
"2021-05_PtCloates_stereo-BRUVS","10","Nemipteridae","Nemipterus","spp",128.06639,1,2035.0411
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",131.20832,1,1863.10341
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",139.05661,1,1336.44984
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",131.57216,1,1836.63772
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",134.92452,1,2126.11967
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",135.26043,1,1877.94617
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",134.56258,1,2403.12981
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",135.0538,1,915.14652
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",125.05623,1,1172.21247
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",150.69936,1,1480.7601
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",130.43118,1,1305.8126
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",158.82713,1,1515.35933
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",143.94212,1,2647.84144
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",158.63602,1,3215.00949
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",181.08375,1,1826.986
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",141.43091,1,2021.31415
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",138.42127,1,1873.16008
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",143.41193,1,1519.50745
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",147.98963,1,940.35765
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",175.09012,1,1869.42099
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",138.17486,1,1616.89994
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",115.6444,1,2111.56203
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",170.64581,1,2730.08106
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",166.02723,1,1871.08835
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",146.95857,1,2132.6049
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",126.27642,1,2597.86709
"2021-05_PtCloates_stereo-BRUVS","10","Sparidae","Dentex","spp",166.26049,1,1883.84241
"2021-05_PtCloates_stereo-BRUVS","11","Carangidae","Decapterus","spp",281.20158,1,3827.42042
"2021-05_PtCloates_stereo-BRUVS","11","Carangidae","Decapterus","spp",259.27156,1,4275.47429
"2021-05_PtCloates_stereo-BRUVS","11","Carangidae","Decapterus","spp",273.38496,1,4120.08547
"2021-05_PtCloates_stereo-BRUVS","11","Carangidae","Decapterus","spp",282.72674,1,3477.17268
"2021-05_PtCloates_stereo-BRUVS","11","Carangidae","Decapterus","spp",297.27687,1,4058.849
"2021-05_PtCloates_stereo-BRUVS","11","Carangidae","Decapterus","spp",241.04746,1,4877.43168
"2021-05_PtCloates_stereo-BRUVS","11","Carangidae","Decapterus","spp",228.17542,1,4739.18005
"2021-05_PtCloates_stereo-BRUVS","11","Nemipteridae","Pentapodus","vitta",120.08026,1,1169.94144
"2021-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Gymnocranius","grandoculis",360.7498,1,3372.10813
"2021-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Lethrinus","miniatus",376.88324,1,1419.55632
"2021-05_PtCloates_stereo-BRUVS","11","Lutjanidae","Pristipomoides","multidens",355.40568,1,2898.91655
"2021-05_PtCloates_stereo-BRUVS","11","Lutjanidae","Pristipomoides","multidens",475.48892,1,4600.03601
"2021-05_PtCloates_stereo-BRUVS","11","Lutjanidae","Pristipomoides","multidens",352.04994,1,1963.10496
"2021-05_PtCloates_stereo-BRUVS","11","Lutjanidae","Pristipomoides","multidens",492.83844,1,2101.53505
"2021-05_PtCloates_stereo-BRUVS","11","Lutjanidae","Pristipomoides","multidens",514.22361,1,2334.36768
"2021-05_PtCloates_stereo-BRUVS","11","Triakidae","Hemitriakis","falcata",782.82022,1,2137.80303
"2021-05_PtCloates_stereo-BRUVS","12","Sphyraenidae","Sphyraena","spp",496.00244,1,5464.28614
"2021-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Gymnocranius","griseus",240.73603,1,3366.15002
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","filamentosus",497.37536,1,2529.50292
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","filamentosus",298.18065,1,2898.13311
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","filamentosus",351.86547,1,1573.53821
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","filamentosus",338.44702,1,1148.45793
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","filamentosus",358.66321,1,1935.53884
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","filamentosus",354.19525,1,1769.172
"2021-05_PtCloates_stereo-BRUVS","12","Echeneidae","Echeneis","naucrates",122.96202,1,1993.97353
"2021-05_PtCloates_stereo-BRUVS","12","Carangidae","Seriola","rivoliana",527.89604,1,3692.59898
