sample,PCO1,PCO2,method
2022-05_PtCloates_BOSS.101,-0.002686151,-0.433448151,BOSS
2022-05_PtCloates_BOSS.102,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.104,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.105,-0.137276095,-0.112872249,BOSS
2022-05_PtCloates_BOSS.106,0.245208906,-0.319124813,BOSS
2022-05_PtCloates_BOSS.107,0.230397021,-0.174407974,BOSS
2022-05_PtCloates_BOSS.108,0.237539269,-0.166418444,BOSS
2022-05_PtCloates_BOSS.110,-0.153138474,-0.161957326,BOSS
2022-05_PtCloates_BOSS.111,0.178991233,-0.386431029,BOSS
2022-05_PtCloates_BOSS.112,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.113,0.126863569,-0.127626217,BOSS
2022-05_PtCloates_BOSS.116,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.117,-0.352229479,-0.20125684,BOSS
2022-05_PtCloates_BOSS.118,-0.023438816,-0.216594746,BOSS
2022-05_PtCloates_BOSS.119,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.120,0.237348621,-0.164550277,BOSS
2022-05_PtCloates_BOSS.121,0.222421385,-0.180214421,BOSS
2022-05_PtCloates_BOSS.122,-0.162486376,-0.137524476,BOSS
2022-05_PtCloates_BOSS.123,-0.020115146,-0.112948893,BOSS
2022-05_PtCloates_BOSS.124,0.02563176,-0.127785205,BOSS
2022-05_PtCloates_BOSS.125,0.136275839,-0.176058369,BOSS
2022-05_PtCloates_BOSS.126,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.127,0.245208906,-0.319124813,BOSS
2022-05_PtCloates_BOSS.128,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.129,0.237658807,-0.158364276,BOSS
2022-05_PtCloates_BOSS.130,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.131,0.144594535,-0.211413421,BOSS
2022-05_PtCloates_BOSS.132,-0.051304247,-0.269480429,BOSS
2022-05_PtCloates_BOSS.133,0.222421385,-0.180214421,BOSS
2022-05_PtCloates_BOSS.134,0.245208906,-0.319124813,BOSS
2022-05_PtCloates_BOSS.135,0.232823313,-0.155211663,BOSS
2022-05_PtCloates_BOSS.136,-0.141392668,-0.205979442,BOSS
2022-05_PtCloates_BOSS.137,-0.153138474,-0.161957326,BOSS
2022-05_PtCloates_BOSS.138,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.139,0.161828974,-0.199543068,BOSS
2022-05_PtCloates_BOSS.140,-0.132234481,-0.179195555,BOSS
2022-05_PtCloates_BOSS.141,0.178991233,-0.386431029,BOSS
2022-05_PtCloates_BOSS.142,0.245208906,-0.319124813,BOSS
2022-05_PtCloates_BOSS.144,-0.646897132,0.052312216,BOSS
2022-05_PtCloates_BOSS.145,-1.100316288,0.448899512,BOSS
2022-05_PtCloates_BOSS.146,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.147,0.013531971,-0.367721651,BOSS
2022-05_PtCloates_BOSS.148,0.150823059,-0.198629626,BOSS
2022-05_PtCloates_BOSS.149,0.235699435,-0.156408345,BOSS
2022-05_PtCloates_BOSS.150,-0.051611369,-0.169324136,BOSS
2022-05_PtCloates_BOSS.151,0.19755553,-0.175716584,BOSS
2022-05_PtCloates_BOSS.152,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.153,0.21540506,-0.145602408,BOSS
2022-05_PtCloates_BOSS.154,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.155,0.232291458,-0.206122822,BOSS
2022-05_PtCloates_BOSS.156,-0.059928772,-0.428766703,BOSS
2022-05_PtCloates_BOSS.201,-0.057017349,-0.099532385,BOSS
2022-05_PtCloates_BOSS.202,0.238541675,-0.160597266,BOSS
2022-05_PtCloates_BOSS.203,-0.086598608,-0.097597297,BOSS
2022-05_PtCloates_BOSS.204,0.178991233,-0.386431029,BOSS
2022-05_PtCloates_BOSS.205,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.206,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.207,-0.452968505,-0.494498768,BOSS
2022-05_PtCloates_BOSS.208,-0.08022261,-0.12881909,BOSS
2022-05_PtCloates_BOSS.209,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.210,0.232291458,-0.206122822,BOSS
2022-05_PtCloates_BOSS.211,-0.007103878,-0.139970257,BOSS
2022-05_PtCloates_BOSS.212,0.109700664,-0.1942503,BOSS
2022-05_PtCloates_BOSS.213,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.214,0.245208906,-0.319124813,BOSS
2022-05_PtCloates_BOSS.215,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.216,-0.017323594,-0.188053664,BOSS
2022-05_PtCloates_BOSS.217,0.238541675,-0.160597266,BOSS
2022-05_PtCloates_BOSS.218,-0.113941358,-0.349395217,BOSS
2022-05_PtCloates_BOSS.219,-0.124277449,-0.063847035,BOSS
2022-05_PtCloates_BOSS.220,0.230397021,-0.174407974,BOSS
2022-05_PtCloates_BOSS.221,-0.102803432,-0.23067569,BOSS
2022-05_PtCloates_BOSS.222,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.223,0.235489266,-0.178863062,BOSS
2022-05_PtCloates_BOSS.224,-1.814183602,-0.447769628,BOSS
2022-05_PtCloates_BOSS.225,0.057153868,-0.174634574,BOSS
2022-05_PtCloates_BOSS.226,0.008022607,-0.327397612,BOSS
2022-05_PtCloates_BOSS.228,0.222421385,-0.180214421,BOSS
2022-05_PtCloates_BOSS.229,0.245208906,-0.319124813,BOSS
2022-05_PtCloates_BOSS.230,0.245208906,-0.319124813,BOSS
2022-05_PtCloates_BOSS.231,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.232,-0.037652195,-0.161635065,BOSS
2022-05_PtCloates_BOSS.233,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.234,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.235,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.236,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.237,0.232291458,-0.206122822,BOSS
2022-05_PtCloates_BOSS.238,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.239,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.240,0.230984664,-0.155927452,BOSS
2022-05_PtCloates_BOSS.241,0.21540506,-0.145602408,BOSS
2022-05_PtCloates_BOSS.242,0.050764616,-0.13337843,BOSS
2022-05_PtCloates_BOSS.243,0.230397021,-0.174407974,BOSS
2022-05_PtCloates_BOSS.244,0.036127139,-0.336785034,BOSS
2022-05_PtCloates_BOSS.245,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.246,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.247,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.248,0.096010617,-0.24998638,BOSS
2022-05_PtCloates_BOSS.249,0.141826341,-0.227559474,BOSS
2022-05_PtCloates_BOSS.250,0.245208906,-0.319124813,BOSS
2022-05_PtCloates_BOSS.251,0.157126631,-0.328227713,BOSS
2022-05_PtCloates_BOSS.252,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.253,-0.01416487,-0.209772068,BOSS
2022-05_PtCloates_BOSS.254,0.060738607,-0.288195486,BOSS
2022-05_PtCloates_BOSS.255,0.036127139,-0.336785034,BOSS
2022-05_PtCloates_BOSS.256,0.11166878,-0.268602473,BOSS
2022-05_PtCloates_BOSS.257,0.088714623,-0.202639641,BOSS
2022-05_PtCloates_BOSS.258,0.038313242,-0.150166915,BOSS
2022-05_PtCloates_BOSS.259,-0.007834953,-0.352114964,BOSS
2022-05_PtCloates_BOSS.260,0.042720611,-0.189503866,BOSS
2022-05_PtCloates_BOSS.261,0.037237981,-0.127919075,BOSS
2022-05_PtCloates_BOSS.262,-0.077333831,-0.158135637,BOSS
2022-05_PtCloates_BOSS.263,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.264,-0.207546479,0.117084569,BOSS
2022-05_PtCloates_BOSS.265,-0.180371099,-0.173272351,BOSS
2022-05_PtCloates_BOSS.266,0.232291458,-0.206122822,BOSS
2022-05_PtCloates_BOSS.267,0.069984385,-0.173397944,BOSS
2022-05_PtCloates_BOSS.268,0.022837039,-0.108590899,BOSS
2022-05_PtCloates_BOSS.269,-0.587330874,0.087881227,BOSS
2022-05_PtCloates_BOSS.270,-0.41386233,0.364161422,BOSS
2022-05_PtCloates_BOSS.271,0.060117596,-0.272910615,BOSS
2022-05_PtCloates_BOSS.272,0.014943742,-0.248703833,BOSS
2022-05_PtCloates_BOSS.273,-0.246622832,0.129798801,BOSS
2022-05_PtCloates_BOSS.274,-0.092501488,0.006138728,BOSS
2022-05_PtCloates_BOSS.B47,0.788784762,0.274392646,BOSS
2022-05_PtCloates_BOSS.B48,-0.016170048,-0.083335607,BOSS
2022-05_PtCloates_BOSS.B49,0.072184895,-0.296290234,BOSS
2022-05_PtCloates_BOSS.B50,0.21540506,-0.145602408,BOSS
2022-05_PtCloates_BOSS.B51,-0.348299756,0.112385599,BOSS
2022-05_PtCloates_BOSS.B52,-0.178600018,-0.048711579,BOSS
2022-05_PtCloates_BOSS.B53,0.144915358,-0.182859794,BOSS
