sample,PCO1,PCO2,method
2022-05_PtCloates_BOSS.101,0.156906166,0.296097592,BOSS
2022-05_PtCloates_BOSS.102,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.104,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.105,-0.023633674,-0.245943787,BOSS
2022-05_PtCloates_BOSS.106,0.362262234,-0.187946385,BOSS
2022-05_PtCloates_BOSS.107,0.347886311,-0.103196863,BOSS
2022-05_PtCloates_BOSS.108,0.360251117,-0.048262245,BOSS
2022-05_PtCloates_BOSS.110,0.22603809,-0.072273379,BOSS
2022-05_PtCloates_BOSS.111,0.323291684,0.366219534,BOSS
2022-05_PtCloates_BOSS.112,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.113,0.200169914,-0.046088428,BOSS
2022-05_PtCloates_BOSS.116,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.117,0.188976447,-0.086460658,BOSS
2022-05_PtCloates_BOSS.118,0.064711495,-0.182181723,BOSS
2022-05_PtCloates_BOSS.119,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.120,0.359454641,-0.052781212,BOSS
2022-05_PtCloates_BOSS.121,0.350436764,-0.061308644,BOSS
2022-05_PtCloates_BOSS.122,-0.050711255,0.237794759,BOSS
2022-05_PtCloates_BOSS.123,0.148425686,-0.055413317,BOSS
2022-05_PtCloates_BOSS.124,0.157391462,-0.050688926,BOSS
2022-05_PtCloates_BOSS.125,0.221201358,-0.012500085,BOSS
2022-05_PtCloates_BOSS.126,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.127,0.362262234,-0.187946385,BOSS
2022-05_PtCloates_BOSS.128,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.129,0.3581236,-0.062059031,BOSS
2022-05_PtCloates_BOSS.130,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.131,0.249975921,-0.041214845,BOSS
2022-05_PtCloates_BOSS.132,0.119151088,0.275993652,BOSS
2022-05_PtCloates_BOSS.133,0.350436764,-0.061308644,BOSS
2022-05_PtCloates_BOSS.134,0.362262234,-0.187946385,BOSS
2022-05_PtCloates_BOSS.135,0.355165248,-0.064513928,BOSS
2022-05_PtCloates_BOSS.136,-0.045757296,0.097762742,BOSS
2022-05_PtCloates_BOSS.137,0.22603809,-0.072273379,BOSS
2022-05_PtCloates_BOSS.138,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.139,0.259689146,-0.030059289,BOSS
2022-05_PtCloates_BOSS.140,0.253359915,-0.083640165,BOSS
2022-05_PtCloates_BOSS.141,0.323291684,0.366219534,BOSS
2022-05_PtCloates_BOSS.142,0.362262234,-0.187946385,BOSS
2022-05_PtCloates_BOSS.144,-0.180346423,-0.063319759,BOSS
2022-05_PtCloates_BOSS.145,-0.677143973,-0.092852713,BOSS
2022-05_PtCloates_BOSS.146,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.147,0.113836447,0.130246682,BOSS
2022-05_PtCloates_BOSS.148,0.240951562,-0.019184237,BOSS
2022-05_PtCloates_BOSS.149,0.354841916,-0.064091757,BOSS
2022-05_PtCloates_BOSS.150,-0.019720278,0.228080801,BOSS
2022-05_PtCloates_BOSS.151,0.314617766,-0.040854457,BOSS
2022-05_PtCloates_BOSS.152,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.153,0.324284348,-0.05923584,BOSS
2022-05_PtCloates_BOSS.154,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.155,0.352109514,-0.098705443,BOSS
2022-05_PtCloates_BOSS.156,0.239822389,0.487009536,BOSS
2022-05_PtCloates_BOSS.201,-0.057903859,-0.095571259,BOSS
2022-05_PtCloates_BOSS.202,0.359711742,-0.060613232,BOSS
2022-05_PtCloates_BOSS.203,-0.014159257,-0.150108895,BOSS
2022-05_PtCloates_BOSS.204,0.323291684,0.366219534,BOSS
2022-05_PtCloates_BOSS.205,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.206,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.207,0.12178811,0.595605706,BOSS
2022-05_PtCloates_BOSS.208,-0.059120314,0.240340359,BOSS
2022-05_PtCloates_BOSS.209,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.210,0.352109514,-0.098705443,BOSS
2022-05_PtCloates_BOSS.211,0.05878248,-0.026843424,BOSS
2022-05_PtCloates_BOSS.212,0.178017296,-0.071839012,BOSS
