taxa,PCO1 ,PCO2,r
Acanthuridae Acanthurus spp,-0.075774685,0.030381498,0.081638461
Acanthuridae Naso fageni,-0.233443652,-0.099030075,0.253580154
Acanthuridae Naso spp,-0.071708098,0.054853164,0.090282451
Apogonidae Apogon sp1,-0.085721746,-0.069125852,0.110120848
Apogonidae Ostorhinchus aureus,-0.050082352,-0.04689852,0.068612777
Apogonidae Unknown spp,-0.067322267,-0.015778078,0.069146477
Balistidae Abalistes filamentosus,-0.334300986,-0.055415363,0.338862821
Balistidae Abalistes spp,0.048489201,0.095875634,0.107439936
Balistidae Abalistes stellatus,-0.114514943,-0.068679991,0.13353132
Balistidae Sufflamen fraenatum,-0.306168001,-0.157087162,0.344115128
Balistidae Unknown spp,-0.036309126,-0.053438512,0.064606711
Balistidae Xanthichthys lineopunctatus,-0.1774025,-0.085063678,0.196742157
Caesionidae Pterocaesio chrysozona,-0.042781863,-0.038805399,0.057759387
Caesionidae Pterocaesio sp1,-0.03570059,0.053682857,0.064470003
Caesionidae Pterocaesio spp,-0.015274295,-0.021351763,0.026252654
Carangidae Carangoides chrysophrys,-0.437512587,-0.101456752,0.449122184
Carangidae Carangoides coeruleopinnatus,0.055004743,-0.018616182,0.058069648
Carangidae Carangoides fulvoguttatus,-0.300861646,-0.109933527,0.320317203
Carangidae Carangoides gymnostethus,-0.144961444,-0.038749129,0.150051042
Carangidae Carangoides sp,-0.021915276,0.051795274,0.056240819
Carangidae Carangoides spp,-0.04434805,-0.027049663,0.051946452
Carangidae Caranx ignobilis,-0.055797195,-0.037602401,0.067284972
Carangidae Decapterus spp,-0.250853438,0.005435096,0.250912311
Carangidae Gnathanodon speciosus,-0.043984322,-0.026677929,0.051442517
Carangidae Seriola dumerili,-0.173237906,0.015283606,0.173910784
Carangidae Seriola rivoliana,-0.221320612,0.030865296,0.22346248
Carangidae Seriola sp1,-0.011365233,0.022919246,0.025582423
Carangidae Seriola spp,-0.030088572,-0.021652095,0.037069332
Carangidae Unknown spp,-0.078143049,0.002715381,0.078190213
Carcharhinidae Carcharhinus albimarginatus,-0.259825665,0.025242672,0.261048978
Carcharhinidae Carcharhinus plumbeus,-0.23905236,-0.086606703,0.254257255
Carcharhinidae Carcharhinus spp,-0.03042795,0.049919623,0.0584622
Chaetodontidae Chaetodon assarius,-0.074843328,0.040185563,0.084949416
Chaetodontidae Heniochus acuminatus,-0.120019542,-0.072074434,0.139997909
Chaetodontidae Heniochus diphreutes,-0.114183792,-0.07407256,0.13610541
Chaetodontidae Heniochus spp,-0.006445651,0.03206631,0.032707715
Cheloniidae Caretta caretta,-0.003015495,0.070050608,0.070115482
Cirrhitidae Cirrhitichthys aprinus,-0.135961965,-0.087428842,0.16164609
